,Internships,Projects,Leadership_Positions,Communication_Skills,Problem_Solving_Skills,Teamwork_Skills,Analytical_Skills,Presentation_Skills,Networking_Skills
2103,0,4,1,0,0,4,0,1,2
2104,1,0,1,0,0,2,0,0,0
2105,0,1,1,1,2,4,0,1,0
2106,2,4,0,1,3,0,4,1,3
2107,2,1,1,4,3,2,2,4,0
2108,2,1,1,3,2,1,1,3,0
2109,0,4,1,4,2,2,0,0,1
2110,1,0,1,2,0,3,0,4,3
2111,0,0,0,4,3,2,0,1,1
2112,2,0,0,0,3,1,0,0,1
2113,1,4,0,2,1,3,2,2,2
2114,1,0,0,2,4,3,1,1,1
2115,2,4,1,3,0,4,3,4,0
2116,1,1,1,1,4,3,2,2,1
2117,2,3,0,1,0,0,1,0,2
2118,2,1,0,3,2,2,3,2,0
2119,0,2,1,1,2,4,2,4,4
2120,0,1,0,0,2,1,3,0,1
2121,0,2,0,3,1,3,0,1,3
2122,1,4,0,3,1,4,0,3,1
2123,2,3,1,3,2,4,3,2,2
2124,2,1,0,2,0,2,4,2,3
2125,1,1,1,2,3,1,4,4,2
2126,0,0,0,2,2,1,1,0,1
2127,2,4,0,2,4,4,4,2,4
2128,2,0,1,1,1,1,2,1,0
2129,0,1,0,3,2,0,4,1,3
2130,0,4,0,1,2,0,2,0,2
2131,0,2,1,0,3,0,3,1,3
2132,1,1,1,4,2,3,3,1,3
2133,0,3,1,2,0,4,4,1,4
2134,1,1,0,1,1,3,3,0,4
2135,1,3,1,2,3,1,2,2,1
2136,1,3,0,3,2,3,2,4,1
2137,1,1,1,2,0,3,3,0,3
2138,0,0,0,0,3,3,3,2,4
2139,0,1,0,2,4,1,2,1,4
2140,2,3,0,1,2,0,3,4,3
2141,2,3,1,0,0,3,0,3,2
2142,0,3,0,0,2,3,3,1,0
2143,2,3,1,3,2,3,3,3,4
2144,0,0,0,2,1,2,1,3,4
2145,1,3,1,3,4,0,4,2,1
2146,0,2,1,2,2,4,0,0,4
2147,0,2,0,2,2,0,0,1,4
2148,1,4,0,4,0,2,1,0,0
2149,2,0,0,0,1,4,3,0,0
2150,0,0,1,0,0,1,0,0,0
2151,2,2,0,2,1,1,2,2,2
2152,0,4,0,1,2,3,1,4,1
2153,2,3,0,4,3,2,4,3,0
2154,0,4,1,4,0,0,1,3,4
2155,2,3,0,4,0,0,4,3,4
2156,2,3,0,4,0,2,1,1,0
2157,2,3,1,0,2,3,0,4,1
2158,1,4,1,1,4,2,2,4,2
2159,2,3,0,4,3,1,4,2,2
2160,2,3,1,1,3,1,0,1,2
2161,0,4,0,3,1,1,2,0,3
2162,1,3,1,4,2,2,2,3,0
2163,0,0,0,0,2,4,3,3,0
2164,2,0,1,4,1,1,4,2,1
2165,2,1,0,0,2,4,2,2,1
2166,2,0,1,2,4,1,1,2,4
2167,1,4,1,0,4,3,2,2,0
2168,1,1,1,3,3,0,4,2,4
2169,0,1,0,2,1,3,3,4,2
2170,0,3,1,2,0,4,3,3,0
2171,0,3,0,4,4,4,0,3,2
2172,1,0,0,3,3,4,2,4,2
2173,0,1,1,3,1,0,2,3,4
2174,0,3,0,4,3,4,3,0,4
2175,1,3,1,4,1,1,1,4,1
2176,1,4,1,3,1,1,2,4,0
2177,1,2,1,2,0,2,0,2,4
2178,0,3,0,4,2,2,2,3,1
2179,2,2,0,4,0,4,1,4,2
2180,1,3,0,0,0,4,1,3,0
2181,0,3,0,3,1,4,1,1,1
2182,2,2,1,2,4,1,4,3,2
2183,1,1,0,3,4,2,3,2,0
2184,0,4,1,2,2,3,2,2,2
2185,2,4,0,4,0,3,0,2,1
2186,1,4,0,0,2,2,0,3,0
2187,0,2,1,3,3,0,3,1,4
2188,0,3,1,1,4,0,2,1,0
2189,1,4,1,2,1,2,4,4,4
2190,0,2,0,0,2,2,4,1,3
2191,1,0,1,0,4,2,3,4,1
2192,0,0,0,4,3,1,4,4,0
2193,2,2,0,2,0,2,4,3,4
2194,2,1,1,2,3,2,3,0,1
2195,2,2,1,3,1,1,2,2,4
2196,2,0,1,4,0,2,1,4,4
2197,0,4,1,0,4,0,4,4,1
2198,1,1,0,1,0,0,1,3,1
2199,0,2,0,2,3,1,4,4,4
2200,0,0,1,0,2,2,4,0,3
2201,1,3,1,3,4,2,4,1,0
2202,1,1,0,4,4,1,3,2,0
2203,1,1,1,0,2,0,0,3,2
2204,0,0,1,0,3,2,0,1,3
2205,1,4,1,0,4,1,1,1,4
2206,0,2,0,4,3,4,2,0,2
2207,2,2,0,2,3,2,1,2,0
2208,1,1,1,4,4,2,3,3,0
2209,2,1,0,3,3,3,1,0,3
2210,2,1,1,4,3,0,4,4,0
2211,1,2,1,0,4,0,0,3,3
2212,1,4,1,0,0,4,1,3,2
2213,2,4,1,3,1,3,3,0,3
2214,0,4,0,1,3,4,4,4,0
2215,1,4,0,3,2,4,2,0,1
2216,1,1,1,2,3,4,1,1,3
2217,0,3,1,2,2,1,3,0,1
2218,0,3,0,2,4,4,0,4,3
2219,1,4,1,3,1,4,3,0,1
2220,0,4,1,3,2,2,2,2,1
2221,2,0,0,0,0,3,0,3,3
2222,2,2,1,4,0,3,1,1,1
2223,1,0,1,3,0,4,0,3,0
2224,1,4,0,4,0,0,0,3,1
2225,0,0,0,0,4,4,3,1,4
2226,1,4,0,0,4,1,1,4,3
2227,0,4,1,0,4,4,0,3,3
2228,1,0,0,4,4,0,0,4,2
2229,2,4,0,3,1,0,1,1,3
2230,2,0,0,3,3,1,4,4,4
2231,1,1,1,1,4,3,0,2,4
2232,2,4,0,3,2,2,1,1,0
2233,1,1,0,0,0,4,3,4,2
2234,1,1,0,2,3,4,1,0,0
2235,0,3,0,1,1,2,3,3,4
2236,1,0,1,4,2,4,0,1,4
2237,2,1,0,3,2,3,3,4,3
2238,0,0,1,2,1,4,4,3,0
2239,0,4,0,0,3,0,1,3,1
2240,1,4,0,4,0,2,1,4,0
2241,0,2,1,3,1,2,3,3,0
2242,0,1,0,2,3,4,1,4,2
2243,2,2,1,0,3,3,2,1,3
2244,0,3,1,1,1,2,3,2,2
2245,0,1,1,0,4,0,0,0,1
2246,0,4,0,4,4,3,2,3,4
2247,2,0,0,4,2,0,4,0,3
2248,1,4,1,4,1,2,2,4,2
2249,1,4,0,1,3,4,1,2,3
2250,0,3,0,0,3,4,4,2,2
2251,2,2,1,3,4,4,2,0,0
2252,0,0,1,2,3,2,1,1,4
2253,2,3,0,0,2,1,3,3,0
2254,1,2,0,2,2,3,0,0,1
2255,2,0,1,0,1,4,0,3,3
2256,0,1,1,3,2,1,4,0,0
2257,1,3,1,3,1,3,4,3,0
2258,1,0,0,2,0,2,2,4,0
2259,0,3,1,1,3,0,1,4,0
2260,2,1,1,1,0,0,1,3,2
2261,2,2,1,0,2,4,0,0,1
2262,1,4,0,4,4,0,2,1,4
2263,0,0,1,1,2,4,1,4,4
2264,0,2,1,3,1,3,3,1,1
2265,2,0,1,2,2,1,4,3,2
2266,1,3,1,4,0,3,0,1,4
2267,2,4,1,2,4,3,0,0,2
2268,0,4,1,4,3,3,3,4,1
2269,0,0,1,0,0,1,0,3,4
2270,1,0,1,1,4,1,1,3,2
2271,2,3,1,3,4,2,3,3,4
2272,2,2,1,2,0,2,0,4,2
2273,2,1,1,1,2,2,4,1,3
2274,2,3,0,1,2,4,4,4,0
2275,1,3,1,0,4,3,0,0,2
2276,2,1,1,4,1,3,3,0,2
2277,0,4,0,4,4,3,4,0,0
2278,1,2,0,0,4,3,0,1,1
2279,1,1,0,4,1,2,2,1,0
2280,2,0,0,4,1,0,3,3,1
2281,0,4,1,2,3,1,4,4,3
2282,2,3,0,0,1,1,3,0,1
2283,1,4,1,4,3,2,1,3,1
2284,2,2,0,0,4,4,1,1,4
2285,0,0,0,2,2,1,1,3,3
2286,0,2,1,2,1,2,4,0,3
2287,2,2,0,2,2,0,1,3,2
2288,0,1,1,1,1,0,3,2,4
2289,1,0,1,0,4,1,3,1,0
2290,1,4,0,3,1,2,0,1,4
2291,1,1,1,1,4,0,4,3,0
2292,2,1,0,3,3,4,1,2,3
2293,2,3,1,2,1,1,1,3,2
2294,1,1,0,4,4,3,1,0,1
2295,0,3,1,1,4,3,4,3,3
2296,1,2,0,3,1,3,0,0,4
2297,1,2,1,3,0,3,4,4,3
2298,0,4,0,2,3,2,2,0,1
2299,0,4,0,1,2,3,4,0,0
2300,0,4,0,1,1,3,0,2,1
2301,2,3,1,2,2,0,2,3,0
2302,0,4,0,2,0,0,2,4,1
2303,2,4,1,1,4,2,1,1,2
2304,0,0,0,0,4,4,0,2,1
2305,0,1,0,2,4,1,2,2,1
2306,1,4,0,1,4,0,1,3,2
2307,1,3,0,3,2,3,3,1,1
2308,0,1,1,2,1,4,1,3,4
2309,0,0,1,0,2,0,4,3,0
2310,0,1,1,0,4,1,2,3,4
2311,2,0,1,4,1,2,2,4,1
2312,1,1,1,0,4,1,2,1,0
2313,2,4,1,2,3,2,1,0,3
2314,2,3,0,1,1,2,4,1,2
2315,2,0,0,4,1,3,2,4,3
2316,1,1,0,3,1,1,2,1,4
2317,1,2,1,3,3,3,3,0,3
2318,2,0,1,0,0,0,4,2,4
2319,2,2,0,2,4,4,3,2,4
2320,2,2,0,0,4,4,0,1,4
2321,2,0,0,4,2,2,4,3,1
2322,2,1,1,3,4,3,4,3,2
2323,1,0,0,3,1,4,3,3,3
2324,1,4,0,0,4,3,1,1,3
2325,0,2,1,2,3,0,4,2,3
2326,2,4,1,0,4,2,2,2,4
2327,1,3,1,3,4,0,2,1,1
2328,1,3,1,3,2,1,2,0,0
2329,2,1,1,2,4,2,0,1,3
2330,0,1,0,3,2,4,0,2,4
2331,1,2,0,4,2,3,4,1,4
2332,1,3,0,3,3,4,3,3,4
2333,0,4,1,3,0,0,4,2,1
2334,2,0,0,3,2,4,4,1,3
2335,2,2,0,4,3,0,0,0,1
2336,1,2,1,1,1,2,0,2,2
2337,2,1,0,0,0,4,0,3,0
2338,1,1,1,1,3,3,4,2,0
2339,2,4,0,1,3,2,3,1,0
2340,1,0,1,4,3,3,4,4,0
2341,1,0,0,4,0,1,3,1,2
2342,2,2,0,4,4,0,4,0,2
2343,1,0,0,4,3,4,3,3,4
2344,1,0,0,3,2,1,4,2,0
2345,1,3,1,2,3,2,2,2,2
2346,1,4,1,0,3,0,0,1,3
2347,0,0,0,4,0,0,4,4,3
2348,2,0,0,1,1,0,0,4,3
2349,2,1,1,3,3,2,3,3,0
2350,0,1,0,3,4,4,1,4,3
2351,2,2,0,3,1,0,0,4,0
2352,0,4,0,2,4,1,4,0,2
2353,1,0,1,1,2,2,4,3,3
2354,1,0,1,0,4,4,3,2,4
2355,2,3,1,0,1,2,2,0,1
2356,2,4,0,3,0,0,3,1,3
2357,0,4,0,0,3,0,0,3,3
2358,1,4,0,0,1,2,2,0,4
2359,0,4,1,1,3,1,0,0,2
2360,1,2,1,1,2,0,3,1,0
2361,2,3,0,3,4,2,4,1,2
2362,2,4,1,2,4,3,0,2,3
2363,1,4,0,3,1,1,1,4,4
2364,0,1,1,0,4,3,2,4,4
2365,2,4,0,1,1,3,1,3,1
2366,0,0,1,2,4,1,4,3,3
2367,0,2,1,3,0,3,0,3,2
2368,0,0,0,2,3,0,0,0,1
2369,2,2,0,3,3,2,1,3,1
2370,2,1,0,4,2,0,4,1,0
2371,2,4,0,4,4,2,2,4,4
2372,0,4,1,4,1,4,2,1,0
2373,0,1,1,1,0,2,0,0,1
2374,1,2,0,1,0,0,3,0,3
2375,2,2,1,1,1,1,1,4,4
2376,2,0,1,3,2,0,2,4,4
2377,2,0,1,0,0,2,1,2,0
2378,0,4,0,4,2,2,1,2,2
2379,1,1,0,3,1,0,0,3,3
2380,2,0,1,0,3,3,4,0,0
2381,2,3,1,2,0,3,2,1,0
2382,0,4,1,3,0,1,4,0,0
2383,1,0,1,3,0,4,1,1,3
2384,1,3,0,1,1,0,1,0,1
2385,1,0,1,1,3,2,3,3,1
2386,0,0,0,2,3,4,3,2,1
2387,0,3,1,0,0,2,2,0,4
2388,0,3,0,0,1,4,2,4,0
2389,2,1,0,2,2,4,1,3,1
2390,0,0,0,0,2,3,3,0,3
2391,2,4,0,2,3,3,0,0,0
2392,0,2,1,1,3,3,4,2,3
2393,1,2,0,3,1,1,4,2,0
2394,0,3,0,3,3,4,2,4,2
2395,0,3,1,2,1,2,0,4,0
2396,1,1,0,2,0,3,1,3,4
2397,1,2,0,0,2,0,1,0,1
2398,0,4,0,1,2,4,3,2,1
2399,1,0,0,4,4,4,4,3,4
2400,2,3,0,2,3,4,0,0,2
2401,2,1,0,4,1,1,2,2,0
2402,0,0,1,4,3,0,1,3,2
2403,1,3,0,0,3,1,1,4,0
2404,1,2,0,4,0,4,4,1,2
2405,0,3,1,4,0,0,1,2,4
2406,1,2,0,0,2,1,0,0,4
2407,1,2,1,0,1,1,4,3,1
2408,2,2,1,4,0,2,2,4,1
2409,0,4,0,3,4,2,4,1,3
2410,1,3,0,2,1,2,4,3,0
2411,2,2,1,0,0,1,1,4,2
2412,0,0,1,2,3,2,3,4,4
2413,0,2,1,4,3,0,0,0,4
2414,0,3,1,2,4,0,1,1,0
2415,1,4,1,2,2,2,1,4,0
2416,2,0,0,4,1,1,0,1,2
2417,2,0,0,1,1,2,2,2,4
2418,0,3,1,1,0,0,2,3,2
2419,2,1,1,3,0,0,0,1,2
2420,1,2,1,4,3,0,3,2,0
2421,2,3,1,2,4,1,3,3,4
2422,1,4,0,1,2,2,0,1,3
2423,2,3,0,0,0,3,4,3,2
2424,0,2,0,3,1,4,3,1,2
2425,2,0,0,4,2,0,2,3,2
2426,0,0,0,4,1,1,0,0,4
2427,1,4,1,0,1,1,4,1,0
2428,1,0,0,4,0,0,3,2,0
2429,1,4,1,4,3,3,2,3,1
2430,0,4,1,3,4,2,2,4,4
2431,0,1,0,3,0,3,3,2,2
2432,2,1,1,1,3,0,4,4,1
2433,0,3,1,4,2,2,0,0,2
2434,2,4,0,2,1,3,1,4,0
2435,2,3,1,1,3,4,4,1,0
2436,1,2,0,3,1,0,2,1,0
2437,1,2,1,0,4,0,0,2,3
2438,0,0,1,0,3,2,0,2,1
2439,1,2,0,4,3,2,2,2,0
2440,1,4,1,2,0,4,0,4,3
2441,1,1,1,4,3,4,0,0,2
2442,1,3,1,4,2,0,1,1,1
2443,1,4,1,2,1,0,3,0,4
2444,0,4,1,0,4,1,2,4,4
2445,2,4,1,4,1,4,4,2,0
2446,1,2,0,0,2,3,1,1,4
2447,2,2,0,3,1,0,2,2,2
2448,0,4,0,1,4,3,1,0,2
2449,1,0,1,3,2,4,0,1,1
2450,1,0,1,4,4,2,0,1,2
2451,2,2,1,3,3,0,1,2,4
2452,1,4,1,0,0,1,2,3,2
2453,2,3,0,1,3,0,1,0,4
2454,0,1,1,4,1,2,2,2,2
2455,1,1,0,3,0,1,2,1,3
2456,0,3,1,2,4,2,0,0,3
2457,2,4,1,3,1,1,1,1,3
2458,1,1,0,2,1,0,1,3,2
2459,0,4,0,0,4,1,4,1,2
2460,1,4,0,3,1,4,4,4,3
2461,2,1,0,0,4,2,2,2,3
2462,1,0,0,0,1,2,1,0,2
2463,2,0,1,3,1,0,0,1,1
2464,1,4,1,3,2,4,1,1,2
2465,1,3,1,3,1,3,1,4,4
2466,0,4,1,1,4,3,3,2,2
2467,2,2,1,3,3,1,4,1,4
2468,1,2,0,1,2,4,2,0,2
2469,0,0,1,2,1,1,0,1,4
2470,0,2,1,4,0,2,1,1,3
2471,1,2,0,2,3,0,0,2,3
2472,1,1,0,2,4,0,2,0,4
2473,2,4,1,3,1,2,3,3,2
2474,0,0,0,3,0,4,4,1,3
2475,2,0,0,4,1,0,0,3,3
2476,1,4,0,2,3,4,2,2,1
2477,0,3,0,0,0,4,1,4,4
2478,2,0,1,4,1,3,3,3,3
2479,0,0,1,4,2,3,3,4,3
2480,2,3,1,3,4,1,0,4,1
2481,0,1,0,0,3,0,0,2,0
2482,0,4,1,3,2,3,3,2,0
2483,0,2,1,0,3,4,1,3,1
2484,1,0,0,3,3,0,0,0,4
2485,0,2,0,0,3,3,3,2,0
2486,1,0,1,4,0,4,2,3,3
2487,2,0,1,2,2,1,2,4,4
2488,0,4,1,2,2,0,2,2,2
2489,0,2,1,1,3,4,0,4,4
2490,2,0,1,0,1,0,1,1,2
2491,0,2,1,1,3,4,4,3,1
2492,1,2,0,3,4,0,1,3,3
2493,2,2,1,2,3,1,3,1,1
2494,2,0,0,1,0,0,1,0,3
2495,0,2,1,3,1,0,2,2,1
2496,1,3,1,2,1,0,0,2,4
2497,2,0,1,2,0,3,2,4,4
2498,0,3,0,2,1,2,2,2,0
2499,2,3,0,1,2,1,3,0,4
2500,0,1,1,2,4,3,0,3,4
2501,1,4,1,4,1,1,1,2,2
2502,1,3,1,1,1,0,4,1,4
2503,2,1,1,2,1,2,0,1,2
2504,1,4,1,2,1,2,4,0,2
2505,0,4,0,4,4,4,1,1,2
2506,0,4,0,3,4,0,1,4,3
2507,0,3,1,2,0,0,3,4,0
2508,2,4,0,4,0,1,1,3,0
2509,0,0,1,2,1,3,1,0,3
2510,0,2,1,4,0,0,4,2,1
2511,0,3,1,2,2,4,4,1,4
2512,1,3,1,1,3,2,1,0,4
2513,1,2,1,1,1,3,4,4,0
2514,0,2,0,0,4,3,3,4,2
2515,2,0,1,2,4,0,3,3,2
2516,0,0,1,4,2,2,0,1,3
2517,2,2,1,0,2,1,4,2,4
2518,2,3,0,0,2,1,3,3,3
2519,2,3,0,4,3,4,2,0,0
2520,2,3,1,0,0,4,2,4,3
2521,0,4,1,1,4,1,0,0,3
2522,1,0,1,4,0,3,3,1,2
2523,0,4,0,2,2,2,4,1,0
2524,0,3,1,3,0,2,2,3,2
2525,0,3,1,4,3,2,3,2,2
2526,0,3,0,3,3,3,4,1,2
2527,1,2,1,2,4,4,3,3,3
2528,1,4,1,0,3,3,2,0,2
2529,0,2,1,3,3,2,0,2,2
2530,1,0,1,0,1,2,2,1,2
2531,2,2,0,0,1,0,0,0,0
2532,1,3,1,1,4,4,1,0,0
2533,1,1,0,1,0,2,4,1,1
2534,1,2,1,2,2,2,4,3,0
2535,0,1,0,2,0,2,4,2,0
2536,1,1,0,4,3,0,1,2,2
2537,1,3,1,3,1,3,2,3,4
2538,0,1,0,4,2,2,4,2,0
2539,2,3,0,1,4,4,0,4,0
2540,0,3,0,3,0,4,3,0,1
2541,2,4,1,0,0,2,2,4,0
2542,2,3,1,0,0,4,0,4,4
2543,1,2,0,2,3,4,2,1,2
2544,1,4,1,0,3,1,1,0,3
2545,1,0,0,1,0,1,1,4,2
2546,2,0,1,2,2,3,0,1,4
2547,1,3,0,2,0,0,1,0,1
2548,2,2,0,3,0,2,3,2,0
2549,0,2,0,0,3,0,3,1,3
2550,0,4,0,0,2,3,0,1,3
2551,0,4,1,0,1,3,0,1,4
2552,1,4,1,4,3,1,2,4,4
2553,2,1,1,4,0,1,0,2,0
2554,0,0,0,1,4,1,0,3,3
2555,2,1,0,4,1,0,3,3,4
2556,1,0,0,4,2,0,0,3,1
2557,1,2,0,0,2,1,2,0,3
2558,1,2,0,0,2,2,3,0,3
2559,1,1,0,4,0,0,3,1,4
2560,2,0,1,4,1,3,1,4,2
2561,1,0,1,1,3,3,2,3,0
2562,1,2,1,0,1,3,0,4,4
2563,1,2,1,1,3,2,0,2,1
2564,2,2,0,3,0,0,3,0,4
2565,0,4,0,3,1,3,2,3,3
2566,1,0,1,1,4,2,4,0,0
2567,0,3,0,4,4,3,1,2,1
2568,0,1,0,2,2,3,2,3,0
2569,0,3,1,2,4,4,0,2,4
2570,0,3,1,4,0,3,1,3,0
2571,0,4,1,4,0,1,4,0,2
2572,1,4,0,0,1,3,2,0,2
2573,0,0,1,0,2,2,1,1,2
2574,1,1,1,2,1,0,4,3,2
2575,0,2,1,1,4,4,0,2,2
2576,2,2,1,0,0,0,0,1,4
2577,1,0,1,4,1,2,3,4,3
2578,0,1,0,2,1,0,0,3,0
2579,1,3,0,2,3,0,0,4,1
2580,2,4,0,1,0,1,1,1,4
2581,2,1,1,3,3,3,0,2,1
2582,1,3,0,1,2,3,1,0,2
2583,1,3,0,3,0,0,1,0,0
2584,1,1,0,1,3,4,2,1,2
2585,2,3,1,0,1,4,4,4,1
2586,2,4,1,3,0,4,0,2,3
2587,0,3,1,4,1,2,0,2,1
2588,2,3,1,1,3,0,2,0,1
2589,1,0,0,2,2,2,4,4,2
2590,1,2,1,1,3,1,1,3,2
2591,1,4,1,1,2,2,4,3,4
2592,1,2,0,3,0,4,1,0,1
2593,0,2,0,1,2,4,1,3,3
2594,1,4,1,3,2,4,0,2,0
2595,0,0,1,2,4,0,0,3,1
2596,2,2,1,0,1,4,2,2,4
2597,0,4,1,0,4,3,3,4,2
2598,0,2,0,4,4,1,3,2,1
2599,2,0,1,1,4,0,0,0,0
2600,1,4,1,0,2,4,4,3,2
2601,2,1,0,1,0,1,1,0,0
2602,1,4,1,4,2,0,4,0,1
2603,2,4,0,3,2,2,1,2,0
2604,0,3,0,1,3,1,3,0,2
2605,0,4,1,2,4,0,3,2,2
2606,2,4,0,4,2,0,3,0,4
2607,2,1,1,4,0,0,3,0,0
2608,1,0,0,3,4,3,4,1,4
2609,1,4,1,0,0,4,2,3,4
2610,1,1,0,3,0,2,2,1,1
2611,2,0,1,0,4,3,0,4,2
2612,1,4,0,1,1,1,0,0,2
2613,0,1,1,1,3,4,3,2,0
2614,0,1,0,0,3,3,4,0,1
2615,0,2,0,1,0,3,1,4,3
2616,1,1,0,4,0,3,3,0,1
2617,0,1,0,3,4,4,1,2,0
2618,2,0,0,2,2,0,0,3,3
2619,1,1,0,3,3,3,0,4,0
2620,0,1,1,1,2,3,1,3,2
2621,0,3,1,1,3,0,2,3,0
2622,0,1,0,2,3,0,4,2,0
2623,2,0,1,3,1,4,0,1,2
2624,0,1,1,4,2,1,4,2,3
2625,0,0,0,1,1,1,4,2,3
2626,2,3,0,3,2,0,4,4,4
2627,2,0,1,4,4,3,4,3,2
2628,2,2,1,3,4,2,3,2,0
2629,1,3,1,1,4,2,2,1,4
2630,2,0,0,3,1,3,0,4,3
2631,0,4,0,3,4,2,1,2,1
2632,1,0,1,0,3,2,4,0,2
2633,0,0,1,2,1,3,1,0,4
2634,0,3,1,1,1,3,1,1,0
2635,1,3,0,0,3,3,2,1,3
2636,0,4,0,1,2,0,4,4,2
2637,2,1,1,1,2,4,4,0,0
2638,0,1,1,2,1,1,3,1,4
2639,0,0,1,3,1,2,0,0,0
2640,0,1,1,4,3,3,1,1,2
2641,2,0,1,2,1,3,4,0,1
2642,0,3,0,1,3,3,1,4,4
2643,0,2,0,2,3,2,3,4,0
2644,2,3,1,3,3,2,2,2,3
2645,1,2,0,4,2,3,1,0,3
2646,2,0,0,4,1,0,4,0,3
2647,2,4,0,4,3,3,3,1,1
2648,0,0,1,0,1,3,2,2,3
2649,1,3,1,0,3,0,0,3,0
2650,2,4,1,0,2,2,3,0,3
2651,0,1,0,3,4,3,2,2,1
2652,2,3,1,4,2,4,4,2,2
2653,1,1,0,0,4,4,1,1,3
2654,2,2,1,0,3,3,3,3,2
2655,2,2,1,1,0,2,0,1,3
2656,1,0,0,4,3,0,4,0,2
2657,0,3,0,3,3,2,4,4,1
2658,2,4,0,3,1,1,0,0,3
2659,2,4,1,4,1,2,1,4,2
2660,1,3,0,0,4,2,1,4,0
2661,0,1,0,3,2,0,4,2,3
2662,0,1,1,2,2,2,4,3,0
2663,0,4,0,1,1,3,1,0,1
2664,1,1,0,0,3,4,2,3,1
2665,1,3,1,4,3,1,1,2,0
2666,1,2,0,4,0,3,0,4,3
2667,1,4,0,1,1,2,3,3,1
2668,0,4,0,4,0,0,4,3,2
2669,1,1,1,2,0,0,4,4,3
2670,1,4,1,4,4,2,1,2,0
2671,1,3,1,4,4,2,2,3,1
2672,1,4,1,4,4,1,1,3,4
2673,1,1,1,2,1,2,0,2,3
2674,0,3,1,1,0,2,4,0,3
2675,1,1,0,4,2,4,3,1,2
2676,0,1,0,4,2,2,2,4,0
2677,1,1,0,2,3,0,0,4,2
2678,0,1,0,4,1,3,2,2,1
2679,1,2,0,1,4,4,0,2,3
2680,2,2,0,3,1,1,4,2,4
2681,1,0,1,4,4,4,1,4,0
2682,2,4,1,3,4,3,1,4,4
2683,1,1,1,0,4,4,4,4,0
2684,2,4,1,4,0,1,4,0,1
2685,2,4,0,0,1,3,3,4,2
2686,1,3,0,4,1,2,0,4,4
2687,0,3,0,2,1,3,0,4,0
2688,1,0,0,2,3,3,4,1,1
2689,2,0,1,0,4,3,0,0,2
2690,1,0,1,1,2,0,2,1,0
2691,2,3,0,2,0,2,2,4,2
2692,1,3,0,2,1,0,1,4,1
2693,1,2,1,2,0,1,0,0,4
2694,2,4,0,4,3,4,2,0,1
2695,1,2,1,3,3,1,4,0,2
2696,2,0,0,1,3,0,3,2,2
2697,0,0,1,0,4,1,4,4,4
2698,2,1,0,2,0,4,0,1,4
2699,0,2,1,2,2,2,4,1,2
2700,2,0,1,2,3,0,1,4,2
2701,0,1,0,2,3,2,1,1,3
2702,2,4,0,4,3,4,3,0,3
2703,0,2,1,2,0,2,0,1,0
2704,2,4,1,0,3,2,0,0,4
2705,1,3,1,3,0,1,2,3,2
2706,0,2,1,3,4,3,3,0,4
2707,1,2,0,2,3,3,0,3,4
2708,2,3,0,4,0,0,1,3,2
2709,2,3,1,2,0,3,3,3,0
2710,2,3,1,2,2,4,2,2,1
2711,0,3,1,1,0,4,2,4,1
2712,1,3,0,0,0,4,0,0,3
2713,0,1,1,4,2,4,2,1,4
2714,2,2,1,0,3,0,1,0,1
2715,0,1,0,4,4,4,2,2,3
2716,2,4,0,0,1,1,2,0,0
2717,2,1,1,1,2,1,1,1,1
2718,1,2,0,2,2,0,1,2,3
2719,0,2,0,3,0,1,1,1,3
2720,2,2,1,3,0,4,1,0,3
2721,1,1,1,2,0,0,1,0,1
2722,1,1,1,0,0,4,1,3,2
2723,1,1,1,0,0,2,4,2,2
2724,1,1,0,1,3,0,3,2,3
2725,1,4,1,2,0,4,2,3,4
2726,2,3,1,3,4,3,2,1,1
2727,1,4,0,1,0,2,1,2,0
2728,0,0,0,3,3,4,4,2,4
2729,2,2,0,3,0,2,1,3,4
2730,1,4,1,2,2,2,0,0,4
2731,0,3,0,2,1,3,4,2,0
2732,0,3,0,4,3,3,3,3,1
2733,2,0,0,1,1,0,1,1,3
2734,0,2,0,1,3,2,0,3,1
2735,0,0,1,1,3,0,1,0,1
2736,1,2,1,4,3,2,3,1,4
2737,0,3,1,1,0,1,2,4,0
2738,1,2,0,1,1,1,2,4,2
2739,2,0,1,0,2,1,1,3,0
2740,1,1,1,1,1,4,4,3,4
2741,0,0,1,3,3,1,0,3,4
2742,0,4,1,2,0,2,0,2,2
2743,0,0,0,4,1,1,3,4,1
2744,0,2,0,4,3,2,3,0,3
2745,1,1,1,2,0,3,1,2,1
2746,0,2,1,1,4,1,2,2,1
2747,1,2,0,2,2,3,4,3,2
2748,0,4,0,4,2,0,1,1,3
2749,1,1,0,2,1,3,1,2,2
2750,0,1,1,3,3,4,1,4,0
2751,0,4,0,3,3,0,0,3,0
2752,2,0,1,2,1,1,1,1,1
2753,2,2,1,3,3,0,4,1,1
2754,1,4,1,2,2,2,3,0,2
2755,2,2,1,3,0,3,4,0,1
2756,0,1,1,4,1,3,4,2,0
2757,1,2,0,1,2,1,3,2,1
2758,1,1,0,3,4,1,2,4,0
2759,2,4,0,2,0,0,1,4,2
2760,1,1,0,3,1,1,3,0,2
2761,1,1,0,1,2,2,1,0,2
2762,0,2,1,3,4,4,1,0,1
2763,0,4,1,0,3,3,3,0,3
2764,2,4,1,1,0,2,3,2,1
2765,0,4,0,2,3,3,2,3,0
