ug_course,ug_specialization,interests,skills,ug_score
bba,computer science engineering,agriculture; blockchain; data analytics; excel; financial analysis; industry; sales and marketing; salesforce; services; supply chain; trading,accounting; analytical thinking; critical thinking; finance related skills; hardware; people management; product knowledge,95
be btech,software engineering,technology,analytical thinking; building rapport; business knowledge; communication; critical thinking; editing; excel; interpersonal skills; logical thinking; presentation; programming; sql; tableau; team work; work under pressure,82.175
bcom,mechanical engineering,digital marketing; financial analysis; journalism,accounting; active listening; business knowledge; human resources; leadership,81.6
ba,finance,content writing,artistic creative skills; communication; content creation; mass communication; writing,66.5
journalism,arts,content writing; government job; human behavior; journalism; social causes,artistic creative skills; communication; content creation; critical thinking; editing; gathering information; mass communication; writing,75
journalism,media and communication,digital marketing; journalism,active listening; communication; editing; leadership; people management; social media marketing,71.25
bcom,arts,human behavior,active listening; business knowledge; communication; product knowledge,66
msc,accounting and finance,technology,python,84
be btech,statistics,technology,artificial intelligence; java; machine learning; python,73.15
diploma,electronics and communication engineering,design; social media marketing,designing skills; machine learning; social media marketing,81
be btech,mechanical engineering,data analytics; data science; research; technology,active listening; analytical thinking; artistic creative skills; c; communication; critical thinking; data visualization; gathering information; interpersonal skills; machine learning; problem solving; programming language skills; python; sql; writing,62.13
be btech,mechanical engineering,product lifecycle management; sales and marketing; technology,leadership; people management,65.55
be btech,mechanical engineering,product lifecycle management; supply chain,leadership; product knowledge; sales,63.175
bsc,mechanical engineering,service,accounting; active listening; communication; hardware; leadership; problem solving,75
be btech,chemistry,construction,civil criminal law,70
bsc,civil engineering,data analytics,leadership; machine learning; matlab; python; sql,78.3
mca,computer science engineering,data analytics; data science; technology,active listening; analytical thinking; artistic creative skills; communication; critical thinking; editing; finance related skills; gathering information; java; negotiation; people management; problem solving; programming language skills; python; risk management skills; sql,72.2
be btech,computer science,human behavior; human biology; journalism; research; technology; trading,accounting; active listening; analytical thinking; gathering information; mass communication; negotiation,80.75
bcom,mechanical engineering,data analytics; financial analysis; human behavior; research; teaching; web design,accounting; artistic creative skills; editing; gathering information; linux,64.6
be btech,accounting and finance,data analytics; data science; excel; machine learning,analytical thinking; c; cad cae autocad catia ansys proe seimensnx; client management; communication; critical thinking; data visualization; gathering information; interpersonal skills; negotiation; people management; presentation; problem solving; python; r; risk management skills; sql; teaching; writing,76
be btech,mechanical engineering,teaching; technology,analytical thinking; leadership; social media marketing,71.155
be btech,mechanical engineering,entrepreneurship; financial analysis; human behavior; human biology; trading,accounting; business knowledge; excel; gathering informing; observation skills; people management; product knowledge,65.55
be btech,engineering,technology; web design,programming language skills; python; wealth management,70.3
bsc,computer science,technology,artificial intelligence; python,77.9
be btech,mechanical engineering,data analytics; supply chain,active listening; leadership; people management,71.25
mba,computer science engineering,data analytics; service; technology; trading,business knowledge; product knowledge,60
be btech,management,government job; web design; web development,accounting; analytical thinking; artistic creative skills; business knowledge; c; civil criminal law; content creation; critical thinking; data visualization; editing; etabs; finance related skills; human resources; java; machine learning; mass communication; medical knowledge; presentation; problem solving; product knowledge; proeficiency in software like staad pro; python; social media marketing; writing,69
be btech,mechanical engineering,research,active listening; java; programming language skills; risk management skills; sql; writing,85.5
be btech,computer science engineering,technology,artificial intelligence; c; editing; finance related skills; java; programming language skills; python; sql,62
be btech,computer science engineering,technology,c; excel; logical thinking; problem solving; team work; writing,71.25
be btech,information technalogy,industry; information technology; technology,hardware; plc scada vlsi dcs,85.69
be btech,instrumentation engineering,data analytics; financial analysis; research; technology,business knowledge; communication; critical thinking; java; leadership; problem solving; programming language skills; python; sql,62.7
be btech,electronics and communication engineering,teaching; technology,creativity skills; programming; team work,68.4
be btech,civil engineering,software development,artificial intelligence; machine learning; python,74.1
pharmacy,programming,data analytics; data science; financial analysis; infrastructure; service; supply chain; technology; web development,accounting; analytical thinking; artificial intelligence; business knowledge; c; cloud computing; communication; etabs; finance related skills; java; linux; machine learning; medical knowledge; proeficiency in software like staad pro; python; r; sql,65.61
be btech,pharmacy,construction; construction management; urban planning,etabs; proeficiency in software like staad pro,79.8
bsc,civil engineering,technology,programming,62
be btech,computer science engineering,web design; web development,javascript,95
msc,mathematics,technology,communication,78.85
be btech,chemistry,research; teaching; technology,gathering informing; leadership; market research; team work,83.6
be btech,automobile engineering,financial analysis; teaching; technology,accounting; communication; editing; excel; presentation; reading; subject knowledge; writing,70
be btech,mathematics,entrepreneurship,logical thinking; observation skills; programming,84.55
be btech,automobile engineering,entrepreneurship; financial analysis; human behavior; technology,accounting; active listening; building rapport; c; communication; editing; excel; gathering informing; interpersonal skills; java; news gathering; observation skills; presentation; problem solving; product knowledge; programming; sql; work under pressure,78.565
be btech,computer science engineering,data analytics; data science; social media marketing,analytical thinking; aws; c; data visualization; java; python; sql,80.75
be btech,information technology,human behavior; technology,business knowledge; communication; excel; leadership; machine learning; negotiation; people management; product knowledge; team work,74.1
msc,information technology,content writing; customer service; data analytics; data science; digital marketing; financial analysis; gaming; government job; human behavior; human biology; interior design; journalism; market research; navy defence related; research; retail; sales and marketing; social causes; social justice; social media marketing; supply chain; trading; urban planning; web design; web development,active listening; analytical thinking; client management; communication; critical thinking; data visualization; designing skills; editing; gathering information; hospitality; leadership; machine learning; medical knowledge; negotiation; people management; presentation; problem solving; product knowledge; python; r; risk management skills; sales; writing,74.86
be btech,accounting and finance,entrepreneurship; human behavior; research; sales and marketing; social justice; teaching; technology,c; communication; designing skills; editing; excel; interpersonal skills; leadership; logical thinking; mass communication; presentation; problem solving; product knowledge; programming; reading; sales; team work; work under pressure; writing,83.315
be btech,physics,research,designing skills,72.2
bsc,automobile engineering,data science; government job; technology,active listening; editing; python; r,80.085
be btech,automobile engineering,data science; machine learning,python,81.7
be btech,mathematics,app development,architecture; c; java; php; python; sql,79.8
bca,computer science engineering,government job; research; teaching; technology,active listening; business knowledge; c; critical thinking; negotiation; people management; programming language skills,98
bcom,computer science engineering,financial analysis; research; technology,accounting; business knowledge; cost accounting; people management; reading; work under pressure,69
be btech,programming,cloud computing; data analytics; data science; sap mm,c; linux; problem solving; python,65.265
be btech,accounting and finance,technology,no,85.5
mba,computer science engineering,agriculture; digital marketing; information technology; machine learning; market research; services; social justice; social media marketing; technology; web design; web development,artificial intelligence; artistic creative skills; aws; business knowledge; communication; critical thinking; designing skills; gathering information; it recruitment; leadership; machine learning; php; programming language skills; sales; social media marketing,55
be btech,electronics and communication engineering,data science; human behavior; web development,programming language skills; python; writing,71.25
journalism,econamics,content writing,editing,59
pharmacy,information technology,entrepreneurship; teaching,sales; subject knowledge,60
d ed,video editing,entrepreneurship; teaching,reading; sales,57
bsc,zoology,financial analysis; government job,active listening; communication; java; teaching,80.75
be btech,computer applications,data science; machine learning,backend development; c; competitive programming; data structures; kivy; problem solving; python; spring boot; spring framework,87.59
bba,statistics,trading,leadership,69
mca,computer science engineering,government job; technology,analytical thinking; communication; product knowledge; risk management skills,45
hh,accounting and finance,social justice,people management,69.35
bba,econamics,financial analysis; research; sales and marketing; trading,business knowledge; communication; finance related skills; interpersonal skills; leadership,78.185
be btech,finance,blockchain; data analytics; data science; financial analysis; information technology; technology; trading,analytical thinking; c; communication; leadership; linux; problem solving; sql,73.72
bca,computer engineering,data analytics; government job; research; technology; web design,active listening; analytical thinking; artistic creative skills; business knowledge; c; communication; critical thinking; data visualization; designing skills; editing; finance related skills; gathering information; hardware; java; leadership; linux; machine learning; mass communication; matlab; negotiation; presentation; problem solving; programming language skills; python; r; social media marketing; sql; writing,76
be btech,programming,construction management,etabs; proeficiency in software like staad pro,71.25
be btech,civil engineering,data analytics; data science; technology; web development,artificial intelligence; c; data visualization; linux; machine learning; python; r; sql,74.1
bsc,computer science engineering,content writing; digital marketing; human behavior; journalism,active listening; communication; content creation; critical thinking; editing; gathering information; mass communication; people management; problem solving; writing,78
bcom,chemistry,human behavior; human biology; research,communication; observation skills; people management; reporting; writing,76
bcom,botany,technology,artificial intelligence; machine learning; python,57.475
bcom,computer science engineering,financial analysis,accounting; business knowledge; finance related skills; people management,59
be btech,accounting and finance,data science; information technology,artificial intelligence; c; data visualization; linux; python; sql,88.73
ba,computer science engineering,teaching,teaching,62
be btech,political science,teaching,java,58.615
be btech,computer science engineering,technology,no,78.85
be btech,computer science engineering,entrepreneurship,critical thinking; gathering informing; leadership; risk managing; team work,74.1
diploma,automobile engineering,design,analytical thinking; communication; designing skills; editing; hardware; leadership; problem solving; product knowledge; risk management skills,60
be btech,unknown,geography and geology; research; teaching,analytical thinking; communication; interpersonal skills; oracle; programming; sql,70.775
be btech,electrical and electronics engineering,construction,active listening; communication; leadership; people management; problem solving; risk management skills,68
be btech,civil engineering,research,accounting; cost accounting,58
be btech,computer science engineering,technology,java; programming; sql; team work,75.81
bca,computer science engineering,financial analysis; human behavior,leadership,70
be btech,computer applications,entrepreneurship; technology,creativity skills; leadership; market research; programming; teamwork,78.85
be btech,computer science engineering,financial analysis,analytical thinking; excel; machine learning; problem solving; python; risk managing; sql; tableau,69.065
be btech,engineering,industry,mechanical maintenance,80.75
bca,mechanical engineering,data analytics; human behavior; human biology; interior design; journalism; technology,active listening; analytical thinking; artificial intelligence; artistic creative skills; cloud computing; communication; critical thinking; designing skills; gathering information; human resources; interpersonal skills; leadership; linux; machine learning; mass communication; medical knowledge; negotiation; people management; presentation; problem solving; risk management skills; social media marketing; sql; writing,86
be btech,computer applications,data analytics; data science; research,active listening; communication; gathering information; matlab; problem solving; teaching,81
msc,instrumentation engineering,entrepreneurship; financial analysis; research; technology; trading,accounting; analytical thinking; building rapport; business knowledge; c; communication; cost accounting; creativity skills; critical thinking; derivatives; designing skills; editing; leadership; logical thinking; market research; negotiation; observation skills; problem solving; product knowledge; python; risk managing; team work,68.4
bba,mathematics,sales and marketing,reporting; team work,65.55
mba,human resources,sales and marketing,c i t; leadership,65.55
bba,business administration,sales and marketing,communication; leadership; reporting; team work,65.55
be btech,marketing,data analytics; gaming; technology,active listening; artistic creative skills; editing; gathering information; problem solving; sql,60
be btech,computer science,technology,artistic skills; c; communication; editing; excel; python; sql,60
bsc,computer science engineering,data analytics; financial analysis; social media marketing,analytical thinking; business knowledge; critical thinking; sql,56.335
be btech,information technology,data analytics; data science; research; technology,active listening; artistic creative skills; communication; critical thinking; data visualization; gathering information; presentation; problem solving; risk management skills; writing,75
be btech,computer science engineering,entrepreneurship; sales and marketing; teaching,business knowledge; communication; creativity skills; excel; interpersonal skills; leadership; logical thinking; market research; negotiation; observation skills; presentation; sales; team work; work under pressure,84.55
be btech,automobile engineering,data analytics,c; programming language skills; python; r; sas,65
be btech,electronics,financial analysis,accounting; analytical thinking; finance related skills; negotiation; people management,66
bcom,electronics and communication engineering,financial analysis,accounting; analytical thinking; communication; cost accounting; excel; gathering informing; interpersonal skills; leadership; people management; problem solving; team work; work under pressure,68.59
be btech,accounting and finance,technology,analytical thinking; artificial intelligence; excel; gathering informing; machine learning; python; sql; tableau; team work,66.5
be btech,computer science engineering,data science; human behavior; human biology; technology,active listening; business knowledge; lotus notes,60
be btech,computer science,data analytics; data science; information technology; technology,active listening; analytical thinking; business knowledge; client management; critical thinking; gathering information; human resources; it recruitment; negotiation; people management; programming language skills; sql,57.08
be btech,information technalogy it,information technology,c; communication; critical thinking; data visualization; leadership; machine learning; programming language skills; python,73
be btech,electrical and electronics engineering,human behavior,active listening; communication; designing skills,79.8
be btech,engineering,data analytics,data visualization; machine learning; problem solving; python,73
be btech,electrical and electronics engineering,software development,no,74.1
be btech,mechanical engineering,technology,artificial intelligence; c; java; leadership; logical thinking; machine learning; observation skills; oracle; presentation; problem solving; product knowledge; programming; python; sql; subject knowledge; team work; work under pressure; writing,87.4
be btech,computer science engineering,technology,linux,56.525
bsc,electrical and electronics engineering,research; technology,creativity skills; leadership; observation skills; people management; python; risk managing; team work,88.92
bcom,computer science engineering,design; digital marketing; financial analysis; gaming; government job; industry; market research; sales and marketing; web development,accounting; business knowledge; finance related skills; people management; programming language skills; risk management skills,65
be btech,commerce,entrepreneurship; research; technology,active listening; analytical thinking; artificial intelligence; c; communication; critical thinking; leadership; machine learning; problem solving; programming; python; work under pressure,88.16
be btech,automobile engineering,technology,python,70
ba,mechanical engineering,gardening; human behavior; social justice,active listening; artificial intelligence; communication; critical thinking; presentation; product knowledge; teaching,54.34
be btech,english,research; technology,java; python,61.75
be btech,electronics and communication engineering,software development,java; sql,69
be btech,electronics and communication engineering,technology,designing skills; excel; leadership; reading; team work,78.85
be btech,automobile engineering,engineering,engineering,76
bcom,engineering,financial analysis,accounting,76
be btech,commerce,data science; machine learning; technology,active listening; communication; hardware; matlab; programming language skills; python; r; sql,60
bsc,electrical and electronics engineering,teaching,teaching; writing,79
bca,physics,technology,java; python,78.85
be btech,computer applications,social justice; technology,analytical thinking; business knowledge; communication; creativity skills; critical thinking; designing skills; interpersonal skills; leadership; negotiation; problem solving; risk managing; team work,80.75
bca,automobile engineering,technology,active listening; cloud computing; critical thinking; designing skills; java; programming language skills; sql,73.15
be btech,programming,data analytics; data science,communication; data visualization; machine learning; presentation; problem solving; python; sql; writing,65.74
be btech,electrical engineering,data science,artificial intelligence; data visualization; machine learning; python,66.5
be btech,electronics and communication engineering,research; social justice; teaching,analytical thinking; communication; critical thinking; gathering informing; machine learning; work under pressure; writing,80.75
be btech,civil engineering,sales and marketing,building rapport; business knowledge; product knowledge; reading; team work,65.835
be btech,automobile engineering,financial analysis; gaming; research; technology,active listening; analytical thinking; business knowledge; critical thinking; data visualization; gathering information; machine learning; problem solving; programming language skills; python; r; sql,67
be btech,electrical and electronics engineering,blockchain; data science; digital marketing; gaming; information technology; research,active listening; analytical thinking; critical thinking; gathering information; machine learning; presentation; problem solving; programming language skills; python; r; sql,67
be btech,electrical and electronics engineering,entrepreneurship,gathering informing; product knowledge,64.125
be btech,information technalogy,data analytics; data science; technology,analytical thinking; business knowledge; content creation; designing skills; gathering information; presentation,71.345
bcom,mechanical engineering,data analytics; financial analysis; sales and marketing,analytical thinking; communication; data visualization; machine learning; matlab; people management; presentation; problem solving; product knowledge; python; risk management skills,43
bcom,insurance,entrepreneurship,business knowledge; leadership; problem solving; team work,73.625
be btech,commerce,teaching,active listening; interpersonal skills; presentation; reading; teamwork; work under pressure,71.25
be btech,computer science engineering,entrepreneurship; technology,business knowledge; communication; creativity skills; editing; excel; linux; observation skills; people management; problem solving; programming; reading; sql; team work; work under pressure,71.25
be btech,information technalogy,entrepreneurship; research; sales and marketing,business knowledge; digital marketing; people management; work under pressure,66.5
diploma,information technalogy,agriculture; government job; services; social justice; teaching,active listening; communication; critical thinking; gathering information; leadership; programming language skills; teaching,78
be btech,geography,government job,hardware,82.91
bcom,mining engineering,sales and marketing,artistic creative skills,68
bcom,econamics,sales and marketing,artistic creative skills,68
bba,econamics,financial analysis,business model development; business model innovationbusiness strategy; corporate finance; equity research; financial forecasting; financial modeling; financial statement analysis; sap successfactors,76.57
be btech,finance,human biology,bioinformatics; cell biology; cell culture; dna extraction; elisa; immunology; mammalian cell culture; microbial genetics; microbiology; molecular cellular biology; molecular genetics; pcr; proteomics; qrt pcr; rna isolation; site directed mutagenesis,86.45
bsc,biotechnology,technology,programming; python; sql,84.835
ba,computer science engineering,content writing; gaming; human behavior; human biology; research; web design,active listening; content creation; designing skills; editing; leadership; problem solving; risk management skills; writing,53
bsc,english,web design,c; communication; designing skills; editing; leadership; programming language skills; sql; writing,78
be btech,computer science engineering,teaching,analytical thinking; c; editing; java; oracle; problem solving; python,77
be btech,computer science engineering,human behavior; research; sales and marketing; technology,communication; designing skills; negotiation; product knowledge,69.35
mca,mechanical engineering,data science,artificial intelligence; c; communication; content creation; data visualization; designing skills; hospitality; human resources; leadership; presentation; problem solving; python; teaching; writing,71.25
be btech,computer science,data analytics; technology,artificial intelligence; data visualization; programming language skills; python,63.65
be btech,mechanical engineering,data analytics; data science,communication; machine learning; python; sql,63.65
be btech,mechanical engineering,sales and marketing; teaching; technology,accounting; designing skills; risk management skills; writing,77.55
be btech,electrical and electronics engineering,design; government job; technology,active listening; business knowledge; communication; critical thinking; designing skills; editing; gathering information; java; leadership; problem solving; programming language skills; writing,66.5
be btech,mechanical engineering,agriculture; design; services; teaching; technology,active listening; business knowledge; cad cae autocad catia ansys proe seimensnx; communication; designing skills; excel; hospitality; leadership; mechanical maintenance; people management; sap; social media marketing; teaching; writing,75.05
be btech,automobile engineering,technology,artificial intelligence; machine learning; python,56
be btech,computer science engineering,entrepreneurship,editing; excel; power bi,74.1
be btech,civil engineering,music,java; python; sql,77.9
be btech,computer science engineering,teaching; technology; trading,artistic creative skills; critical thinking; programming language skills,66.5
be btech,engineering,entrepreneurship; human behavior; human biology; technology,artificial intelligence; business knowledge; problem solving; team work,63.365
be btech,automobile engineering,data science; machine learning; social causes; web development,ajax; c; css; drupal; html; javascript; jquery; mysql; netbeans; php; sql; xml,83.6
be btech,computer science engineering,biotechnology; human biology; research,bacterial culture; cell culture; chromatography; electrospinning; environmental biotechnology; gas chromatographyhigh performance liquid chromatography hplc; mammalian cell culture; microbiology; nanobiotechnology; nanomaterials; nanoparticles; ndds; plant tissue culture; tissue culture; uv vis spectroscopy,71.25
be btech,biotechnology,technology,arduino; integrated circuits; lead generation; mobile app development,86.45
bcom,electronics and telecommunication engineering,sales and marketing,excel; sales; work under pressure,50
be btech,computer applications,technology,no,76
bsc,computer science engineering,gaming,business knowledge; finance related skills; java; sql,70
be btech,computer science,biotechnology; human biology; research,critical thinking; food microbiology; food safety; food technology; good manufacturing practice gmp; hazard analysis and critical control points haccp; problem solving; quality assurance,87.875
ballb,biotechnology,legal services,civil criminal law; critical thinking,67.64
be btech,law,data analytics,data visualization; sql,77
be btech,electronics and communication engineering,data analytics,analytical thinking; data visualization; java; machine learning; problem solving; python; sales; sql,79.515
be btech,computer science engineering,design,business knowledge; communication; designing skills; machine learning; writing,68.4
bsc,engineering,information technology,c; java; linux; machine learning; python; sql,65.55
be btech,computer science engineering,sales and marketing,business knowledge; excel; java; reporting; sql,75.05
be btech,information technology,technology,c; sql,86
be btech,electrical and electronics engineering,financial analysis; gis; research; technology,active listening; analytical thinking; communication; creativity skills; logical thinking; machine learning; programming; python; reading; sql; tableau; team work,73.055
be btech,mechanical engineering,technology,analytical thinking; artistic skills; c; communication; critical thinking; gathering informing; java; leadership; machine learning; negotiation; people management; problem solving; programming; python; reading; sql; team work; work under pressure,64.6
be btech,political science,technology,machine learning; oracle; python; sql; tableau,62
be btech,computer science engineering,design; sales and marketing,business knowledge; communication; gathering information; leadership; people management; sales,64
bsc,chemical engineering,human behavior; human biology; research,artistic skills; business knowledge; communication; creativity skills; interpersonal skills; observation skills; presentation; reading; subject knowledge; writing,80.75
poosc,psychology,sales and marketing,sales,53
be btech,political science,entrepreneurship; technology; trading,business knowledge; communication; designing skills; editing; excel; leadership; people management; presentation; reading; team work; work under pressure,80.75
be btech,mechanical engineering,content writing; interior design; public speaking; technology,c; communication; critical thinking; gathering information; hardware; matlab; programming language skills; writing,66.595
be btech,electronics and communication engineering,technology,java; oracle; problem solving; programming; sql,78.375
be btech,automobile engineering,safety,business knowledge; interpersonal skills; leadership; people management; risk managing; team work; wealth management; work under pressure,67.45
be btech,automobile engineering,project management,active listening; analytical thinking; artistic creative skills; business knowledge; communication; critical thinking; people management; presentation,87.4
mca,computer science engineering,technology,programming language skills,94.05
bsc,computer science,entrepreneurship; human behavior; teaching; technology,analytical thinking; business knowledge; c; critical thinking; editing; excel; gathering informing; interpersonal skills; leadership; logical thinking; market research; negotiation; observation skills; people management; presentation; problem solving; product knowledge; reading; risk managing; team work; work under pressure,73.53
be btech,computer science engineering,financial analysis; research; technology; trading,active listening; analytical thinking; building rapport; c; communication; creativity skills; editing; gathering informing; java; leadership; linux; machine learning; people management; programming; python; reading; sql; subject knowledge; team work; work under pressure,82.555
be btech,computer science engineering,data analytics; data science; technology,active listening; analytical thinking; artificial intelligence; business knowledge; c; communication; critical thinking; data visualization; leadership; machine learning; problem solving; programming language skills; python; r; risk management skills; sql; writing,74.1
be btech,programming,higher studies,no,58.9
chartered accountancy,mechanical engineering,financial analysis; journalism,accounting; artificial intelligence; business knowledge; excel; leadership; reporting; risk managing; team work; work under pressure,85.5
mtech,taxation and law,data analytics; data science; web development,analytical thinking; leadership; programming language skills,63
be btech,mechanical engineering,data analytics; data science; information technology,analytical thinking; artificial intelligence; data visualization; machine learning; python; r,68.4
be btech,instrumentation engineering,software development,no,78.85
be btech,mechanical engineering,software and hardware engineering jobs; teaching,c; observation skills; python; reading; subject knowledge; writing,80
be btech,electrical and electronics engineering,software development,no,78.85
bcom,electrical and electronics engineering,financial analysis,accounting; excel,75.05
be btech,commerce,software development,no,65.55
be btech,electrical and electronics engineering,automation; sales and marketing,automation; electrical design; variable frequency drives,76.285
be btech,electrical and electronics engineering,financial analysis; interior design; research; teaching,active listening; analytical thinking; business knowledge; communication; critical thinking; human resources; leadership; negotiation; people management; risk management skills; writing,94
bca,agriculture engineering,sales and marketing,business knowledge,86
bba,computer science,sales and marketing,creativity skills; interpersonal skills; leadership; presentation; problem solving; work under pressure,72.2
be btech,marketing,design; industry; service; social causes; technology,business knowledge; client management; designing skills; hardware; leadership; problem solving; product knowledge,66
be btech,electronics and communication engineering,industry; sports industry; technology,active listening; hardware; mass communication; risk management skills,74
bcom,electronics and communication engineering,financial analysis; research; sales and marketing; supply chain; trading,accounting; active listening; analytical thinking; artistic creative skills; business knowledge; communication; critical thinking; data visualization; finance related skills; gathering information; interpersonal skills; leadership; negotiation; presentation; problem solving; product knowledge; programming language skills; r; social media marketing; sql,61.75
bcom,other,entrepreneurship; human behavior; human biology; journalism; research; teaching; technology,accounting; analytical thinking; business knowledge; communication; critical thinking; designing skills; excel; gathering informing; interpersonal skills; leadership; linux; negotiation; news gathering; observation skills; presentation; programming; python; r; reading; reporting; sql; tableau; writing,82.65
bcom,computer science engineering,content writing; data analytics; gaming; human behavior; infrastructure; journalism; market research; research; service; teaching; technology; web design; web development,accounting; analytical thinking; business knowledge; cloud computing; communication; content creation; critical thinking; data visualization; designing skills; gathering information; hardware; linux; matlab; problem solving; product knowledge; python; risk management skills; sql,82.65
diploma,computer science,infrastructure,artistic creative skills; communication; critical thinking,63.7
be btech,civil engineering,technology,active listening; java; programming language skills; python; sql,80.75
be btech,information technalogy,content writing; data analytics; design; digital marketing; gardening; human behavior; industry; interior design; journalism; navy defence related; service; social causes; social justice; social media marketing; teaching; technology; web design; web development,active listening; artistic creative skills; business knowledge; client management; communication; critical thinking; java; leadership; linux; programming language skills; sql; writing,83.6
bsc,information technalogy,research; technology; trading,analytical thinking; excel; leadership; logical thinking; people management; problem solving; python,84.075
bsc,mathematics,technology,excel; reading; writing,76
mca,physics,web development,c,75.81
bca,programming,web design,designing skills; php,64.6
bsc,computer science,human behavior,communication; gathering informing; leadership; negotiation; reading; team work; work under pressure; writing,84.55
be btech,home science,trading,business knowledge; communication; creativity skills; editing; interpersonal skills; logical thinking; market research; mass communication; negotiation; problem solving; programming; wealth management,80.75
pharmacy,political science,medicine,clinical research; clinical trials; cro managementcro management; drug discovery; gmp; good clinical practice gcp; good laboratory practice glp; high performance liquid chromatography hplc; life sciences; pharmaceutics; pharmacokinetics; pharmacology; pharmacovigilance,87.4
be btech,pharmacy,biotechnology; human biology; research,bacterial transformation; cancer biology; cancer research; cell culture; fluorescence microscopy; gel electrophoresis; molecular cloning; polymerase chain reaction pcr; real time polymerase chain reaction qpcr,76.285
be btech,biotechnalogy,data analytics,active listening; business knowledge; communication; designing skills; interpersonal skills; leadership; presentation; problem solving; reading,65.36
be btech,electronics and communication engineering,blockchain; gaming; human behavior,business knowledge; problem solving; product knowledge,72
ba,electrical and electronics engineering,digital marketing; human biology; trading,critical thinking; editing; negotiation,69
be btech,general,government job; technology; trading; web design,java; matlab; problem solving,62.32
bsc,engineering,government job; teaching,active listening; writing,76
bba,automobile engineering,blockchain; financial analysis; human behavior; industry,accounting; business knowledge,71.25
be btech,mechanical engineering,construction; construction management,construction management,74.1
be btech,mechanical engineering,construction; construction management,etabs; proeficiency in software like staad pro,79.8
be btech,computer science engineering,industry,analytical thinking; business knowledge; communication; people management; problem solving; product knowledge,70
be btech,mathematics,cloud computing; cyber security; data analytics; machine learning; technology,cyber security; servicenow; splunk,84.455
be btech,accounting and finance,gaming; information technology; technology; trading,automation; gathering information; hardware; java; product knowledge; programming language skills; sql,56
be btech,civil engineering,entrepreneurship; human behavior; research; sales and marketing; social justice; technology; trading,active listening; analytical thinking; artificial intelligence; artistic skills; c; creativity skills; critical thinking; designing skills; editing; excel; gathering informing; interpersonal skills; leadership; machine learning; mass communication; negotiation; news gathering; observation skills; presentation; problem solving; product knowledge; python; r; reading; reporting; risk managing; sql; subject knowledge; tableau; team work; work under pressure; writing,66
be btech,civil engineering,data analytics; data science; digital marketing; gaming; gardening; government job; human behavior; market research; research; service; social causes; social justice; social media marketing; supply chain; technology; trading; web development,active listening; analytical thinking; artificial intelligence; artistic creative skills; business knowledge; civil criminal law; communication; content creation; critical thinking; data visualization; designing skills; editing; gathering information; interpersonal skills; leadership; machine learning; mass communication; negotiation; people management; presentation; problem solving; product knowledge; python; r; risk management skills; sql; writing,66
be btech,mechanical engineering,blockchain; content writing; data analytics; data science; design; digital marketing; gaming; government job; human behavior; human biology; industry; information technology; infrastructure; journalism; market research; navy defence related; product lifecycle management; research; sales and marketing; salesforce; sap mm; service; social causes; social justice; social media marketing; sports industry; supply chain; technology; trading; web development,active listening; analytical thinking; artificial intelligence; artistic creative skills; business knowledge; communication; content creation; critical thinking; data visualization; designing skills; editing; finance related skills; gathering information; hardware; hospitality; human resources; interpersonal skills; it recruitment; leadership; machine learning; mass communication; matlab; medical knowledge; negotiation; people management; presentation; problem solving; product knowledge; programming language skills; python; r; risk management skills; sales; sap; social media marketing; sql; teaching; wealth management; writing,66
be btech,electronics and telecommunication engineering,sales and marketing; technology,c; interpersonal skills; sales,67.45
be btech,computer science,railway engineering,analytical thinking; building rapport; business knowledge; critical thinking; designing skills; excel; gathering informing; interpersonal skills; leadership; mass communication; negotiation; observation skills; people management; presentation; problem solving; reporting; risk managing; subject knowledge; team work; work under pressure; writing,76
be btech,mathematics,data analytics; data science; financial analysis; machine learning; research; social media marketing,accounting; active listening; analytical thinking; artificial intelligence; aws; business knowledge; cloud computing; communication; critical thinking; data visualization; designing skills; excel; finance related skills; gathering information; interpersonal skills; java; leadership; linux; machine learning; presentation; programming language skills; python; risk management skills; sql; teaching,63.365
be btech,mathematics,technology; web design,designing skills; java; sql,70
bsc,mathematics,data analytics; government job,writing,60
bcom,automobile engineering,government job,accounting; active listening; hardware,67
bsc,civil engineering,technology,finance related skills; programming language skills; sql,78
be btech,computer science engineering,embedded systems; technology,leadership; presentation; programming; team work,74.1
be btech,electrical and electronics engineering,digital marketing; gardening; teaching; technology,active listening; artistic creative skills; communication; critical thinking; gathering information; hardware; interpersonal skills; leadership; matlab; presentation; problem solving; programming language skills; writing,85.025
bsc,chemistry,research; technology,c; excel,53.2
be btech,accounting and finance,data analytics; data science,active listening; c; communication; data visualization; gathering information; problem solving; programming language skills; python; sql; writing,58
be btech,computer science,human biology; teaching,medical knowledge,71.25
bsc,electronics and communication engineering,journalism,business knowledge; programming,81.32
be btech,electrical engineering,data analytics; data science,active listening; hardware,60
be btech,physics,construction; financial analysis; oil and gas,cad cae autocad catia ansys proe seimensnx; editing; leadership; mechanical maintenance,68.23
be btech,data science,data analytics; data science; research,analytical thinking; communication; critical thinking; data visualization; gathering information; machine learning; matlab; people management; problem solving; programming language skills; python; risk management skills; sql,57.19
be btech,electronics engineering,supply chain; technology,communication; critical thinking; data visualization; gathering information; hardware; leadership; mass communication; matlab; problem solving; programming language skills; python; sql,56.05
