Sleep_Hours,Sleep_Quality,Physical_Activity_Min,Diet_Quality,Stress_Level
9.0,0,21,2,2
7.5,2,39,1,5
7.0,3,39,1,5
5.6,1,46,0,8
8.0,3,37,0,1
7.9,1,4,1,4
5.7,2,32,1,5
8.6,3,38,1,6
7.1,1,18,1,1
7.9,2,27,0,6
4.0,0,52,1,4
7.3,3,37,1,2
8.5,0,45,1,6
10.0,2,25,1,1
6.6,3,10,0,3
6.9,0,5,2,6
5.5,2,26,1,5
4.4,0,31,0,7
5.7,2,36,1,2
7.8,2,33,1,7
9.6,0,25,0,1
7.7,0,29,1,5
6.0,3,18,1,3
7.2,0,32,0,4
5.7,2,20,1,6
7.8,2,26,1,2
7.3,2,43,0,6
8.2,2,47,1,9
8.7,1,48,2,3
6.8,2,40,1,2
6.3,1,27,1,3
7.2,2,29,0,3
5.0,0,23,1,4
8.0,2,0,0,4
10.0,0,39,0,6
6.5,1,34,1,1
8.0,1,62,2,1
7.2,3,14,1,4
7.5,2,40,1,9
9.6,2,48,0,6
7.8,0,35,1,4
8.4,2,21,1,6
5.6,0,23,0,5
6.0,2,27,2,4
3.9,2,17,1,8
5.9,0,46,2,7
3.3,0,51,0,4
9.7,0,39,1,1
3.0,0,18,0,4
7.0,1,49,1,10
7.2,2,45,1,1
7.6,0,37,1,4
6.5,2,32,1,6
5.8,2,0,1,6
8.7,2,45,1,3
7.7,1,31,1,1
8.7,1,22,0,5
6.3,1,10,1,2
10.0,0,45,1,1
4.8,2,33,1,6
6.8,1,17,1,3
9.3,3,43,0,3
8.0,0,20,1,3
9.7,2,34,2,1
8.0,1,35,0,4
6.3,2,7,1,1
5.5,1,40,0,4
6.0,2,21,0,6
9.9,2,33,1,2
7.4,2,22,1,3
5.0,2,33,1,9
8.7,3,12,1,6
7.4,2,68,0,9
6.1,2,36,0,3
6.6,2,24,1,3
6.2,3,4,1,6
9.0,0,42,2,6
8.3,3,23,0,6
6.1,2,39,0,4
5.9,0,42,0,5
8.8,0,28,1,5
7.6,2,19,2,7
7.6,0,35,1,1
5.3,3,36,1,9
7.1,0,34,1,2
6.4,2,26,1,6
7.3,1,41,0,6
5.4,1,38,1,4
8.1,0,8,1,1
7.9,3,51,0,4
8.9,1,21,2,4
7.3,2,7,1,6
7.6,2,15,2,5
8.6,2,38,1,3
7.4,2,24,1,4
7.5,3,16,1,2
8.2,1,50,1,4
6.6,1,18,1,4
7.3,1,27,1,5
6.1,0,29,1,1
5.4,2,48,0,1
7.0,2,24,1,3
7.0,1,33,1,1
7.8,1,9,1,6
4.8,1,25,1,6
7.0,2,5,1,6
8.2,2,27,1,7
6.2,1,50,1,5
7.9,2,37,1,1
5.9,1,35,1,3
5.2,0,0,1,3
7.5,3,38,2,2
8.1,1,0,1,6
8.0,1,44,0,6
7.9,2,24,0,2
7.4,3,14,1,2
5.1,3,21,1,2
6.4,2,32,0,5
6.8,2,33,1,4
7.7,3,38,1,1
7.3,2,21,1,6
7.0,0,50,1,1
8.8,1,48,0,2
6.2,1,29,2,7
8.7,1,32,0,3
5.6,1,52,1,6
5.7,0,18,1,1
6.1,0,20,1,3
5.6,1,13,1,6
9.8,2,50,0,5
6.4,0,29,1,3
6.3,0,20,1,6
5.9,0,36,1,1
10.0,1,50,1,8
7.2,1,19,1,2
7.7,2,49,0,3
6.8,1,34,1,1
8.1,2,36,1,4
6.6,3,17,0,3
7.9,2,20,0,4
7.7,2,24,0,1
7.5,2,30,1,6
6.2,2,39,0,8
6.2,1,26,0,7
8.4,2,4,2,2
7.9,0,43,2,6
8.4,0,37,1,5
6.6,3,25,1,6
7.9,2,14,2,3
4.8,2,26,1,6
7.0,3,27,1,3
8.2,0,44,1,7
6.1,2,38,2,5
6.0,2,17,1,6
4.9,2,37,1,4
6.2,2,33,1,1
9.2,2,16,1,1
6.6,3,43,0,3
5.9,2,21,0,6
5.9,2,12,0,8
6.6,1,27,0,3
5.8,0,4,0,5
6.5,2,37,1,3
7.0,3,18,0,3
6.6,3,0,0,7
6.8,1,18,1,6
6.3,2,26,2,3
8.2,2,22,1,6
7.4,0,46,1,3
6.7,0,17,1,6
8.4,3,9,1,2
7.0,2,21,0,8
5.1,0,37,2,2
7.8,2,31,0,1
6.5,3,6,1,4
6.0,0,18,1,8
7.8,2,20,1,2
6.7,1,48,0,5
8.7,0,55,0,1
5.8,0,40,0,5
7.0,2,14,1,3
6.5,2,19,2,6
7.1,0,36,0,3
4.4,2,39,1,1
7.0,2,47,0,6
7.9,2,35,2,1
7.3,1,0,1,1
8.9,0,41,0,1
9.1,2,22,1,3
5.2,1,53,0,6
5.6,0,30,1,8
5.8,0,38,1,2
8.6,3,49,0,4
5.5,0,20,1,7
8.1,3,24,0,2
8.1,0,62,0,6
8.9,0,34,1,1
6.8,0,40,1,2
6.1,2,53,2,3
5.9,2,0,1,7
5.4,2,0,1,5
6.2,2,32,1,4
3.0,1,0,1,5
8.8,0,32,1,1
8.5,0,25,1,1
6.7,0,23,1,5
6.7,2,21,0,3
4.9,1,42,0,6
7.1,2,40,1,1
7.2,0,28,2,5
8.7,3,41,1,5
6.6,1,16,0,5
5.8,2,22,1,1
8.5,1,20,0,6
5.9,1,14,0,5
9.4,0,30,0,3
7.0,2,31,2,6
4.4,1,16,0,1
4.4,1,28,2,7
4.9,1,24,1,8
6.4,0,32,2,5
4.9,2,22,0,2
6.4,1,48,1,3
8.6,3,28,1,6
6.0,2,41,1,5
6.1,0,16,1,4
9.0,1,44,1,8
6.3,2,34,1,2
6.8,1,30,1,5
6.2,2,34,1,4
8.1,0,21,1,3
4.3,0,19,0,5
5.5,0,14,1,4
4.6,3,38,1,7
7.5,0,27,0,3
7.9,0,20,1,3
8.3,3,18,1,5
6.7,0,50,1,2
7.6,3,55,1,2
7.3,2,22,1,5
7.0,3,69,0,6
6.8,2,42,1,5
4.0,2,27,0,9
6.2,1,15,1,7
9.4,3,38,1,2
5.5,1,30,2,4
5.5,0,38,1,5
8.5,2,2,0,4
9.9,0,34,1,8
8.1,0,4,0,2
5.9,0,40,1,2
8.3,3,27,0,1
7.1,0,46,0,5
7.2,2,24,1,6
9.5,2,45,2,5
6.1,0,28,1,2
8.4,2,20,1,4
6.1,2,48,1,5
7.0,2,19,2,2
7.3,0,7,0,1
7.1,1,41,1,3
5.8,1,26,1,3
8.0,0,27,1,1
7.1,2,65,1,5
6.9,2,70,1,4
7.1,2,36,2,5
8.0,0,26,0,4
6.9,2,35,0,2
8.4,0,56,1,1
8.2,0,52,1,2
6.2,2,23,0,7
3.5,0,25,2,9
7.4,3,39,1,6
6.4,1,45,0,2
9.3,0,24,1,2
6.4,1,41,1,2
9.0,2,0,1,3
5.6,2,36,1,8
5.9,2,32,1,5
5.9,0,19,0,3
6.7,0,27,0,6
6.6,2,39,1,4
7.4,3,18,1,4
8.6,2,33,2,2
7.7,0,27,1,1
7.3,2,19,1,4
9.5,2,8,1,1
8.3,3,38,1,7
7.4,0,0,0,2
5.0,2,37,0,8
5.6,0,28,1,4
6.3,0,58,0,3
6.7,2,40,0,7
7.1,2,31,1,6
6.0,2,43,1,3
7.5,2,36,2,9
5.8,0,32,0,7
7.5,3,29,1,4
7.0,0,25,1,6
9.9,2,21,1,1
5.1,1,71,0,4
8.2,0,45,1,1
8.2,2,26,1,4
7.6,0,33,1,4
7.4,3,42,1,1
6.1,2,8,0,2
8.0,1,39,0,1
5.6,2,14,1,8
8.1,1,37,1,2
5.1,0,12,1,4
8.1,1,27,0,2
3.6,1,30,1,5
8.6,2,49,0,5
6.5,0,63,0,3
3.9,3,36,0,4
5.7,0,43,0,6
9.4,3,27,0,2
6.1,1,30,1,3
6.8,2,12,1,2
9.6,2,43,0,1
5.4,2,0,0,5
6.7,2,15,0,10
7.1,2,35,2,4
7.5,2,31,1,3
7.0,2,15,1,3
4.0,1,63,1,5
