,What was your course in UG?,What is your UG specialization? Major Subject (Eg; Mathematics),What are your interests?,What are your skills ? (Select multiple if necessary),What was the average CGPA or Percentage obtained in under graduation?
246,B.Sc,ZBC,Govt. Job,Artistic/Creative Skills;Leadership;Content creation,60
247,BA,English,Information Technology,Programming Language skills,71.25
248,BCA,Computer Applications ,Teaching;Technology;Web Designing;Content Writing,Active Listening;Programming Language skills;Gathering Information;Communication skills;Leadership;Problem Solving skills;Risk management skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );C++;SQL;Content creation;Medical knowledge;Java;Cloud Computing,76
249,B.Pharmacy,Zoology,Understand Human Body,Excel,73
250,BE,Mechanical ,Service,Accounting Skills;Active Listening;Hardware skills;Sales;Social Media Marketing;HR,59.09
251,BE,Mechanical Engineering,Technology,Critical Thinking;Communication skills;SAP ,75
252,B.Com,Costing,Financial Analysis,Accounting Skills;Finance related skills,65
253,BE,Automobile Engineering,"Sales/Marketing, Entrepreneurship","Python, People Management, Communication Skills, Work under Pressure, Leadership, Creativity Skills, Team work",83.125
254,B.Com,Commerce,Home interior design,Artistic/Creative Skills,75
255,BE,Automobile engineering ,Industires;Machine Learning;Automotive Textile machineryâ€™s ,Technical machine fitter,58.9
256,BE,Electrical and Electronics Engineering,Govt. Job,Python,73.72
257,B.Tech,Electronics & Telecommunications ,"All fields related to Data science,Machine Learning",C#;.NET Framework;Python ;C ;Transact-SQL (T-SQL),85.5
258,B.Tech,Electrical and Electronics Engineering,Data Analytics,NO,76
259,B.Com,Commerce,Financial Analysis,"Accounting Skills, Critical Thinking, Analytic Thinking, Business Knowledge, Work under Pressure, Leadership, Product Knowledge, Creativity Skills, Team work, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, Problem Solving skills, Risk Managing, Reporting",76.95
260,B.Tech,Programming,"Technology,Trading","Active Listening, Programming, Work under Pressure, Teamwork,Excel,Logical Skills Interpersonal Skills, Presentation skills, Reading",70.3
261,BBA,Civil Engineering,Financial Analysis;Sales/Marketing;Data analytics,Accounting Skills;Communication skills;Negotiation skills;Editing;Wealth Management;Presentation Skills,72
262,B.Tech,Finance,Technology,"ML, Python, SQL",68.4
263,B.E,Computer Science Engineering,"Take risk for Profits, Technology, Trading, Entrepreneurship","Active Listening, Analytic Thinking, Business Knowledge, Work under Pressure, Team work, Presentation Skills, Writing, Observation Skills, Risk Managing, Reading, Subject Knowledge",74.1
264,B.Tech,Automobile Engineering,Data analytics;Data scientist;All fields related to Data science.,Data Visualization skills( Power Bi/ Tableau );Python;Artificial Intelligence;SQL,79.8
265,BCA,Information Technology,Data scientist,Programming Language skills;Analytical Skills;Communication skills;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Python;SQL;Good communication skills,70
266,B.Tech,Computer Applications,Digital marketing;Data scientist;Social media marketing,Programming Language skills;People management;Designing skills;Social Media Marketing;Interpersonal skills;Good communication skills,33.25
267,B.Sc,Statistics,Data analytics,Analytical Skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Python;SQL,87
268,B.Tech,Computer science ,Technology;Data analytics;Data scientist;All fields related to Data science.,Critical Thinking;Communication skills;Negotiation skills;Python;Good communication skills,85
269,BCA,BiotechNAlogy ,Sales/Marketing;Trading;Retailer;Market reserach;Construction Manegement;Excel,Business Knowledge;Product knowledge;Problem Solving skills;Risk management skills;Sales;Client management,70
270,B.Tech,"Computer ( Languages like  .. C, C++ ,  Java,  C# ) ",Cloud computing,Java Enterprise Edition;Hibernate;Zuul API Gateway;Spring Cloud;Apache ZooKeeper;Amazon EC2;Zoho;Oracle CRM;Spring Boot;Spring MVC;Docker;Apache Drill;Angular,81.7
271,B.Com,Computer Science Engineering,Financial Analysis,"Accounting Skills, Business Knowledge, Negotiation Skills, Work under Pressure, Interpersonal Skills",75
272,B.Tech,Commerce,Technology,"Python, Java",65.55
273,Doctor ,Electronics and communication engineering,Understand human body,Writing skills;Medical knowledge,89
274,B.Tech,Dental surgeon ,Hardware ,"
Altium Designer;Printed Circuit Board (PCB) Design;NI LabVIEW; Digital electronics semiconductors;Arduino;Xilinx Vivado;Verilog;KiCAD;NI Multisim;Eagle PCB;Electronic Circuit Design;Altium CircuitMaker;Internet of Things (IoT);Electronics Hardware Design;OrCAD Capture CIS;OrCAD",76.95
275,B.Sc,Electronics and Communication Engineering,Understand human body;Govt. Job,Medical knowledge;Hospitality,65
276,B.Tech,Biology,Technology;Data analytics;Data scientist,Programming Language skills;Critical Thinking;Gathering Information;Business Knowledge;Analytical Skills;Product knowledge;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;SQL,52.87
277,BA,Electronics and Communication Engineering,Understand human behaviour;Social causes,HR;Good communication skills,70
278,BE,IRPM,Research,Accounting Skills;Active Listening;Hardware skills;Critical Thinking;People management;Communication skills;Leadership;Designing skills;Writing skills,63.27
279,BE,Mathematics,Production Supervisor ,People management;Leadership;Problem Solving skills,64.125
280,B.Tech,Mechanical Engineering ,Technology;Trading;Data analytics;Data scientist,Programming Language skills;Analytical Skills;C++;Python;SQL;Java,57
281,B.Tech,Computer Science Engineering,"Financial Analysis, Research, Technology, Understand Human Behaviour, Understand Human Body","AI, ML, Critical Thinking, Analytic Thinking, Civil & Criminal Law, Work under Pressure, Leadership, Problem Solving skills",78.85
282,B.Sc,Computer Science Engineering,Technology,"Python, Programming, Communication Skills, Leadership, C++, Writing, Observation Skills",77.995
283,B.Tech,Computer Science Engineering,Cyber Secuirty,IBM QRadar;OWASP;Ethical Hacking;Threat & Vulnerability Management;Splunk;Vulnerability Scanning;Malware Analysis;Tenable Nessus;ePolicy Orchestrator;Metasploit;Burp Suite;Security Information and Event Management (SIEM);,75.905
284,B.A.F,Electronics & Telecommunications ,Financial Analysis,"Accounting Skills, Active Listening, Cost Accounting, Market Study, Excel, Logical Skills, Problem Solving skills, Writing, Sales, Building Rapport",75.05
285,B.Tech,Accountancy,Sales/Marketing;Digital marketing,Active Listening;Critical Thinking;Business Knowledge;Content creation,68.875
286,B.Tech,Mechanical engineering ,Data analytics;Data scientist,Programming Language skills;Critical Thinking;Analytical Skills;Communication skills;Leadership;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;R;Python;Artificial Intelligence,68.3
287,B.Tech,Electronics and Communication Engineering,News Coverage;Technology,Gathering Information;Business Knowledge;Analytical Skills;People management;Civil & Criminal Law;Communication skills;Negotiation skills;Mass Communication;Leadership,72
288,M.A,Mathematics ,Teaching,"Critical Thinking, Artistic skills, Communication Skills, Editing, Interpersonal Skills, Reporting, Reading, Subject Knowledge",83
289,B.Com,Psychology,Trading,Team work,57.95
290,BBA,Accountancy,"News Coverage, Social Justice","Python, Gathering Informing, Business Knowledge",95
291,B.Tech,Communication & Political Science,Data Analytics,NO,85.5
292,B.Tech,Computer Science Engineering,Research,"Editing, Writing, Observation Skills, Reading",65
293,B.Tech,History,Research,"Editing, Writing, Observation Skills, Reading",65
294,B.Tech,History,Software Job,NO,74.1
295,B.Sc,Electrical and Electronics Engineering,"Teaching, Entrepreneurship","Active Listening, Communication Skills, Leadership, Creativity Skills, Presentation Skills, Problem Solving skills, Writing, Tableau, Reading, Subject Knowledge",84.645
296,B.Sc,Computer Science Engineering,Research;Game industry;Data scientist,Programming Language skills;Business Knowledge;Analytical Skills;Communication skills;Leadership;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;R;Python;Artificial Intelligence;Good communication skills,82.65
297,BE,Statistics ,Teaching;Web Designing;Data analytics;Govt. Job;Data scientist;All fields related to Data science.;SAP Consultant in MM;Information Technology;Machine Learning;Automotive Textile machineryâ€™s,Active Listening;Hardware skills;Programming Language skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge;Communication skills;Negotiation skills;Leadership;Problem Solving skills;Risk management skills;Designing skills;Writing skills;Machine Learning skills;Wealth Management;Presentation Skills;SAP,72
298,B.Sc,Mathematics ,Govt. Job,Accounting Skills;Programming Language skills;Editing;Writing skills;Python;HR;Good communication skills,63.365
299,BCA,Mathematics ,Information Technology,SQL;Java;Javascript,69.92
300,B.Tech,Computer Applications ,Research;Data analytics;Data scientist,Active Listening;Designing skills;Python,67
301,BE,Mechanical Engineering,News Coverage;Research;Social Justice;Technology;Trading;Understand human behaviour;Supply Chain Analysis;Data analytics;Digital marketing;Data scientist;Market reserach;Social media marketing,Data Visualization skills( Power Bi/ Tableau );Python;SQL;Client management;Good communication skills,54.15
302,BE,Mechanical Engineering,Sales/Marketing;Technology;Supply Chain Analysis;Govt. Job;Market reserach;Infrastructure;Design,Accounting Skills;Finance related skills;People management;Civil & Criminal Law,67.4
303,B.Tech,Mechanical Engineering,Financial Analysis,Business Analytics;Risk Analytics;SAS;Marketing Management;Market Research;Business Strategy;CommercialBanking;Portfolio Management;Supply Chain Management;Business Process Reengineering;Consumer Behaviour;Long-term Customer Relationships;Retail Marketing;Financial Accounting;credit risk modeling;Security Analysis;Working Capital Management;trategic Marketing;Investment Banking;Structured Finance,73.72
304,BBA,Computer Science Engineering,"Financial Analysis;Sales/Marketing;Trading;Supply Chain Analysis;Data analytics;Industires;Blockchain;Salesforce Admin;Agriculture, services;Excel",Accounting Skills;Hardware skills;Critical Thinking;Analytical Skills;Finance related skills;People management;Product knowledge,95
305,B.Tech,Computer Software Engineer,Technology,"Critical Thinking, Analytic Thinking, Business Knowledge, SQL, Programming, Communication Skills, Work under Pressure, Editing, Team work, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, Tableau, Building Rapport",82.175
306,B.Com,Mechanical Engineering,Financial Analysis;News Coverage;Digital marketing,Accounting Skills;Active Listening;Business Knowledge;Leadership;HR,81.6
307,BA,Finance ,Content Writing,Artistic/Creative Skills;Communication skills;Mass Communication;Writing skills;Content creation,66.5
308,Bachelor of journalism,Arts,News Coverage;Understand human behaviour;Content Writing;Govt. Job;Social causes,Critical Thinking;Gathering Information;Artistic/Creative Skills;Communication skills;Mass Communication;Editing;Writing skills;Content creation,75
309,Master of journalism,Journalism,News Coverage;Digital marketing,Active Listening;People management;Communication skills;Leadership;Editing;Social Media Marketing,71.25
310,B.Com,Arts,Understand human behaviour,Active Listening;Business Knowledge;Communication skills;Product knowledge,66
311,M.Sc,Accounts,Technology,Python,84
312,B.Tech,Statistics,Technology,"AI, ML, Python, Java",73.15
313,Diploma,Electronics and Communication Engineering,Social media marketing;Design,Designing skills;Machine Learning skills;Social Media Marketing,81
314,B.Tech,Mechanical Engineering,Research;Technology;Data analytics;Data scientist,Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Analytical Skills;Communication skills;Problem Solving skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Interpersonal skills;C++;Python;SQL;Good communication skills,62.13
315,BE,Mechanical Engineering,Sales/Marketing;Technology;Product Life cycle Management,People management;Leadership,65.55
316,BE,Mechanical Engineering ,Supply Chain Analysis;Product Life cycle Management,Leadership;Product knowledge;Sales,63.175
317,B.Sc,Mechanical Engineering ,Service,Accounting Skills;Active Listening;Hardware skills;Leadership;Problem Solving skills;Good communication skills,75
318,B.Tech,Chemistry,Construction,Civil & Criminal Law,70
319,B.Sc,Civil engineering,Data analytics,Leadership;Machine Learning skills;Python;SQL;MATLAB,78.3
320,MCA,Computer Science Engineering,Technology;Data analytics;All fields related to Data science.,Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Analytical Skills;Finance related skills;People management;Communication skills;Negotiation skills;Editing;Problem Solving skills;Risk management skills;Python;SQL;Java;Good communication skills,72.2
321,B.Tech,Computers,News Coverage;Research;Technology;Trading;Understand human behaviour;Understand human body,Accounting Skills;Active Listening;Gathering Information;Analytical Skills;Negotiation skills;Mass Communication,80.75
322,B.Com,Mechanical Engineering ,Financial Analysis;Research;Teaching;Understand human behaviour;Web Designing;Data analytics,Accounting Skills;Gathering Information;Artistic/Creative Skills;Editing;Linux,64.6
323,B.Tech,Accountancy,Data analytics;Data scientist;Machine Learning;Excel,Critical Thinking;Gathering Information;Analytical Skills;People management;Communication skills;Negotiation skills;Problem Solving skills;Risk management skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Interpersonal skills;C++;Presentation Skills;R;Python;SQL;Client management;Good communication skills;Teaching;CAD/CAE(autocad/catia/ansys/proE/SeimensNX);Programming Language C,76
324,BE,Mechanical Engineering,Teaching;Technology,Analytical Skills;Leadership;Social Media Marketing,71.155
325,B.E,Mechanical Engineering ,"Financial Analysis, Take risk for Profits, Trading, Understand Human Behaviour, Understand Human Body","Accounting Skills, Gathering Informing, Business Knowledge, People Management, Product Knowledge, Excel, Observation Skills",65.55
326,BE,Engineering,Technology;Web Designing,Programming Language skills;Wealth Management;Python,70.3
327,B.Sc,Computer Science ,Technology,"AI, Python",77.9
328,BE,Mechanical Engineering,Supply Chain Analysis;Data analytics,Active Listening;People management;Leadership,71.25
329,MBA,Computer Science Engineering,Technology;Trading;Data analytics;Service,Business Knowledge;Product knowledge,60
330,BE,Management,Web Designing;Govt. Job;Web development,"Accounting Skills;Critical Thinking;Artistic/Creative Skills;Business Knowledge;Analytical Skills;Finance related skills;Civil & Criminal Law;Mass Communication;Editing;Product knowledge;Problem Solving skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Social Media Marketing;C++;Presentation Skills;Python;Content creation;Medical knowledge;Java;HR;Proeficiency in Software like STAAD PRO, ETABS",69
331,B.Tech,Mechanical ,Research,Active Listening;Programming Language skills;Risk management skills;Writing skills;SQL;Java,85.5
332,B.Tech,Computer Science Engineering,Technology,Programming Language skills;Finance related skills;Editing;C++;Python;Artificial Intelligence;SQL;Java,62
333,B.Tech,Computer Science Engineering,Technology,"Team work, Excel, Logical Skills, C++, Problem Solving skills, Writing",71.25
334,B.Tech,Information TechNAlogy,Technology;Industires;Information Technology,Hardware skills;PLC/SCADA/VLSI/DCS,85.69
335,B.Tech,Instrumentation,Financial Analysis;Research;Technology;Data analytics,Programming Language skills;Critical Thinking;Business Knowledge;Communication skills;Leadership;Problem Solving skills;Python;SQL;Java,62.7
336,B.Tech,Electronics and Communication Engineering,"Technology,Teaching","Creativity Skills, Team work, Programming",68.4
337,B.Tech,Civil Engineering,Software engineer ,"AI, ML, Python",74.1
338,B.Pharmacy,Java Programming & Website Designing,Financial Analysis;Technology;Supply Chain Analysis;Data analytics;Data scientist;Web development;Service;Infrastructure,"Accounting Skills;Business Knowledge;Analytical Skills;Finance related skills;Communication skills;Machine Learning skills;C++;R;Linux;Python;Artificial Intelligence;SQL;Medical knowledge;Java;Cloud Computing;Proeficiency in Software like STAAD PRO, ETABS;Good communication skills",65.61
339,B.Tech,Pharmacy,Construction;Construction Manegement;Urban Planning,"Proeficiency in Software like STAAD PRO, ETABS",79.8
340,B.Sc,Civil,Technology,Programming,62
341,B.Tech,Computer Science Engineering,Web Designing;Web development,Javascript,95
342,M.Sc,MATHEMATICS,Technology,Communication Skills,78.85
343,BE,Chemistry,"Research, Teaching, Technology","Gathering Informing, Leadership, Market Study, Team work",83.6
344,B.Tech,Automobile Engineering,"Financial Analysis, Teaching, Technology","Accounting Skills, Communication Skills, Editing, Excel, Presentation Skills, Writing, Reading, Subject Knowledge",70
345,BE,Mathematics,Entrepreneurship,"Programming, Logical Skills, Observation Skills",84.55
346,B.Tech,Automobile Engineering,"Financial Analysis, Technology, Entrepreneurship, Understand Human Behaviour","Accounting Skills, Active Listening, Gathering Informing, Java, SQL, Programming, Communication Skills, Work under Pressure, News Gathering, Editing, Product Knowledge, Excel, Interpersonal Skills, Presentation Skills, C++, Problem Solving skills, Observation Skills, Building Rapport",78.565
347,B.Tech,Computer Science Engineering,Data analytics;Data scientist;Social media marketing,Analytical Skills;Data Visualization skills( Power Bi/ Tableau );C++;Python;SQL;Java;AWS,80.75
348,B.Tech,Information Technology,"Technology, Understand Human Behaviour","ML, Business Knowledge, People Management, Communication Skills, Negotiation Skills, Leadership, Product Knowledge, Team work, Excel",74.1
349,M.Sc,Information Technology,Financial Analysis;News Coverage;Research;Sales/Marketing;Social Justice;Trading;Understand human behaviour;Understand human body;Supply Chain Analysis;Web Designing;Content Writing;Data analytics;Govt. Job;Game industry;Digital marketing;Home interior design;Retailer;Data scientist;Web development;Market reserach;Social media marketing;Social causes;All fields related to Data science.;Navy Defence related;Customer care;Urban Planning,Active Listening;Critical Thinking;Gathering Information;Analytical Skills;People management;Communication skills;Negotiation skills;Leadership;Editing;Product knowledge;Problem Solving skills;Risk management skills;Designing skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Sales;Presentation Skills;R;Python;Medical knowledge;Hospitality;Client management;Good communication skills,74.86
350,B.E,Accountancy,"Research, Sales/Marketing, Social Justice, Teaching, Technology, Entrepreneurship, Understand Human Behaviour","Programming, Communication Skills, Work under Pressure, Leadership, Editing, Product Knowledge, Team work, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, C++, Problem Solving skills, Mass Communication, Writing, Reading, Designing Skills, Sales",83.315
351,B.E,Physics,Research,Designing Skills,72.2
352,B.Sc,Automobile Engineering,Technology;Govt. Job;Data scientist,Active Listening;Editing;R;Python,80.085
353,B.Tech,Automobile Engineering,Data scientist;Machine Learning,Python,81.7
354,B.Tech,"Mathematics, Statistics and Computer science",Mobile App Development,C++;Python;SQL;Java;Architecture;PHP,79.8
355,BCA,Computer Science Engineering,Research;Teaching;Technology;Govt. Job,Active Listening;Programming Language skills;Critical Thinking;Business Knowledge;People management;Negotiation skills;C++,98
356,B.Com,Computer Science Engineering,"Financial Analysis, Research, Technology","Accounting Skills, Business Knowledge, People Management, Work under Pressure, Cost Accounting, Reading",69
357,BE,Programing language,Data analytics;Data scientist;SAP Consultant in MM;Cloud computing,Problem Solving skills;C++;Linux;Python,65.265
358,B.Tech,Accountancy,Technology,NO,85.5
359,MBA,Computer Science Engineering,"Social Justice;Technology;Web Designing;Digital marketing;Web development;Market reserach;Social media marketing;Information Technology;Machine Learning;Agriculture, services",Programming Language skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge;Communication skills;Leadership;Designing skills;Machine Learning skills;Sales;Social Media Marketing;Artificial Intelligence;Good communication skills;Us & Canada Recruitment (IT);AWS;PHP,55
360,BE,Electronics and Communication Engineering,Understand human behaviour;Data scientist;Web development,Programming Language skills;Writing skills;Python,71.25
361,Master of journalism ,EcoNAmics,Content Writing,Editing,59
362,Pharmacy,Information Science,"Teaching, Entrepreneurship","Sales, Subject Knowledge",60
363,D ed,Vedio editing ,"Teaching, Entrepreneurship","Reading, Sales",57
364,B.Sc,Zoology,Financial Analysis;Govt. Job,Active Listening;Communication skills;Java;Good communication skills;Teaching,80.75
365,B.Tech,Computer Applications,"Machine Learning,All fields related to Data science",Python; C++; problem solving ;KIVY; competitive programming; data structures ;backend web development ;spring boot; spring framework,87.59
366,BBA,Statistics,Trading,Leadership,69
367,MCA,Computer Science Engineering,Technology;Govt. Job,Analytical Skills;Communication skills;Product knowledge;Risk management skills;Good communication skills,45
368,Hh,Accountancy,Social Justice,People Management,69.35
369,BBA,EcoNAmics,Financial Analysis;Research;Sales/Marketing;Trading,Business Knowledge;Finance related skills;Communication skills;Leadership;Interpersonal skills,78.185
370,BE,Finance ,Financial Analysis;Technology;Trading;Data analytics;All fields related to Data science.;Information Technology;Blockchain ,Analytical Skills;Communication skills;Leadership;Problem Solving skills;C++;Linux;SQL;Good communication skills,73.72
371,BCA,Computer Engineering ,Research;Technology;Web Designing;Data analytics;Govt. Job,Active Listening;Hardware skills;Programming Language skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge;Analytical Skills;Finance related skills;Communication skills;Negotiation skills;Mass Communication;Leadership;Editing;Problem Solving skills;Designing skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Social Media Marketing;C++;Presentation Skills;R;Linux;Python;SQL;Java;MATLAB,76
372,B.Tech,"C, C++, Java, SQL, MySQL, Unix, HTML, Mathematics, Statistics",Construction Manegement ,"Proeficiency in Software like STAAD PRO, ETABS",71.25
373,B.Tech,Civil Engineering,Technology;Data analytics;Data scientist;Web development,Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;C++;R;Linux;Python;Artificial Intelligence;SQL,74.1
374,B.Sc,Computer Science Engineering,News Coverage;Understand human behaviour;Content Writing;Digital marketing,Active Listening;Critical Thinking;Gathering Information;People management;Communication skills;Mass Communication;Editing;Problem Solving skills;Writing skills;Content creation,78
375,B.Com,Chemistry,"Research, Understand Human Behaviour, Understand Human Body","People Management, Communication Skills, Writing, Observation Skills, Reporting",76
376,B.Com,Botany,Technology,"AI, ML, Python",57.475
377,B.Com,Computer Science Engineering,Financial Analysis,Accounting Skills;Business Knowledge;Finance related skills;People management,59
378,B.Tech,Accounting ,Data scientist;Information Technology,Data Visualization skills( Power Bi/ Tableau );C++;Linux;Python;Artificial Intelligence;SQL,88.73
379,BA,Computer Science Engineering,Teaching,Teaching ,62
380,B.Tech,Political science ,Teaching,Java,58.615
381,B.Tech,Computer Science Engineering,Technology,NO,78.85
382,B.E,Cse,Entrepreneurship,"Critical Thinking, Gathering Informing, Leadership, Team work, Risk Managing",74.1
383,Diploma,Automobile Engineering,Design,Hardware skills;Analytical Skills;Communication skills;Leadership;Editing;Product knowledge;Problem Solving skills;Risk management skills;Designing skills,60
384,B.Tech,N.A,"Research, Teaching, Geography and Geology ","Analytic Thinking, SQL, Oracle, Programming, Communication Skills, Interpersonal Skills",70.775
385,BE,Electrical and Electronics Engineering,Construction,Active Listening;People management;Communication skills;Leadership;Problem Solving skills;Risk management skills,68
386,B.Tech,Building material and construction ,Research,"Accounting Skills, Cost Accounting",58
387,B.Tech,Computer Science Engineering,Technology,"Java, SQL, Programming, Team work",75.81
388,BCA,Computer Science Engineering,Financial Analysis;Understand human behaviour,Leadership,70
389,B.Tech,Computer Applications,"Technology,Entrepreneurship","Creativity Skills,Leadership,Market Study, Teamwork, Programming",78.85
390,BE,Computer Science Engineering,Financial Analysis,"ML, Python, Analytic Thinking, SQL, Excel, Problem Solving skills, Tableau, Risk Managing",69.065
391,B.Tech,Engineering,Industires,mechanical maintenance,80.75
392,BCA,Mechanical Engineering,News Coverage;Technology;Understand human behaviour;Understand human body;Data analytics;Home interior design,Active Listening;Critical Thinking;Gathering Information;Artistic/Creative Skills;Analytical Skills;People management;Communication skills;Negotiation skills;Mass Communication;Leadership;Problem Solving skills;Risk management skills;Designing skills;Writing skills;Machine Learning skills;Social Media Marketing;Interpersonal skills;Presentation Skills;Linux;Artificial Intelligence;SQL;Medical knowledge;Cloud Computing;HR,86
393,BE,Computer applications ,Research;Data analytics;Data scientist;All fields related to Data science.,Active Listening;Gathering Information;Problem Solving skills;MATLAB;Good communication skills;Teaching,81
394,M.Sc,Electronics and Instrumentation Engineering,"Financial Analysis, Research, Take risk for Profits, Technology, Trading","Accounting Skills, Python, Critical Thinking, Analytic Thinking, Business Knowledge, Communication Skills, Negotiation Skills, Leadership, Editing, Product Knowledge, Cost Accounting, Creativity Skills, Market Study, Team work, Derivatives, Logical Skills, C++, Problem Solving skills, Observation Skills, Risk Managing, Designing Skills, Building Rapport",68.4
395,BBA ,MathematicsÃŠ,Sales/Marketing,"Team work, Reporting",65.55
396,MBA,Finance and HRÃŠ,Sales/Marketing,"Leadership, C.I.T",65.55
397,BBA ,Business Administration,Sales/Marketing,"Communication Skills, Leadership, Team work, Reporting",65.55
398,B.Tech,Sales & Marketing,Technology;Data analytics;Game industry,Active Listening;Gathering Information;Artistic/Creative Skills;Editing;Problem Solving skills;SQL,60
399,B.Tech,Computer science ,Technology,"Python, Artistic skills, SQL, Communication Skills, Editing, Excel, C++",60
400,B.Sc,Computer Science Engineering,Financial Analysis;Data analytics;Social media marketing,Critical Thinking;Business Knowledge;Analytical Skills;SQL,56.335
401,BE,Information Technology,Research;Technology;Data analytics;Data scientist,Active Listening;Critical Thinking;Gathering Information;Artistic/Creative Skills;Communication skills;Problem Solving skills;Risk management skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Presentation Skills;Good communication skills,75
402,BE,Computer Science Engineering,"Sales/Marketing, Teaching, Entrepreneurship","Business Knowledge, Communication Skills, Negotiation Skills, Work under Pressure, Leadership, Creativity Skills, Market Study, Team work, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, Observation Skills, Sales",84.55
403,B.Tech,Automobile Engineering,Statistical Programmer ,Programming Language skills;R;Python;Programming Language C;SAS ,65
404,B.Tech,electronic ,Financial Analysis,Accounting Skills;Analytical Skills;Finance related skills;People management;Negotiation skills,66
405,B.Com,ECR,Financial Analysis,"Accounting Skills, Analytic Thinking, Gathering Informing, People Management, Communication Skills, Work under Pressure, Leadership, Cost Accounting, Team work, Excel, Interpersonal Skills, Problem Solving skills",68.59
406,B.Tech,Accountancy,Technology,"AI, ML, Python, Analytic Thinking, Gathering Informing, SQL, Team work, Excel, Tableau",66.5
407,B.Tech,Computer Science Engineering,Technology;Understand human behaviour;Understand human body;Data scientist,Active Listening;Business Knowledge;Lotus Notes,60
408,B.Tech,CSIT,Technology;Data analytics;Data scientist;Information Technology,Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Business Knowledge;Analytical Skills;People management;Negotiation skills;SQL;HR;Client management;Us & Canada Recruitment (IT),57.08
409,B.Tech,Information TechNAlogy (IT),Information Technology,Programming Language skills;Critical Thinking;Leadership;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Python;Good communication skills;Programming Language C,73
410,B.Tech,Electrical and Electronics Engineering,Understand Human Behaviour,"Active Listening, Communication Skills, Designing Skills",79.8
411,B.Tech,Engineering,Data analytics,Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Python,73
412,B.Tech,Electrical and Electronics Engineering,Software Job,NO,74.1
413,B.Tech,Mechanical Engineering,Technology,"AI, ML, Python, Java, SQL, Oracle, Programming, Work under Pressure, Leadership, Product Knowledge, Team work, Logical Skills, Presentation Skills, C++, Problem Solving skills, Writing, Observation Skills, Subject Knowledge",87.4
414,B.Tech,Computer Science Engineering,Technology,Linux,56.525
415,B.Sc,Electrical and Electronics Engineering,"Research, Technology","Python, People Management, Leadership, Creativity Skills, Team work, Observation Skills, Risk Managing",88.92
416,B.Com,Computer Science Engineering,Financial Analysis;Sales/Marketing;Govt. Job;Game industry;Digital marketing;Web development;Market reserach;Industires;Design,Accounting Skills;Programming Language skills;Business Knowledge;Finance related skills;People management;Risk management skills,65
417,BE,Commerce,"Research, Technology, Entrepreneurship","Active Listening, AI, ML, Python, Critical Thinking, Analytic Thinking, Programming, Communication Skills, Work under Pressure, Leadership, C++, Problem Solving skills",88.16
418,B.Tech,Automobile Engineering,Technology,Python,70
419,BA,Mechanical Engineering,Social Justice;Understand human behaviour;Gardening,Active Listening;Critical Thinking;Product knowledge;Presentation Skills;Artificial Intelligence;Good communication skills;Teaching,54.34
420,B.Tech,English,"Research, Technology","Python, Java",61.75
421,B.Tech,Electronics and Communication Engineering,Software ,"Java, SQL",69
422,B.E,Electronics and Communication Engineering,Technology,"Leadership, Team work, Excel, Reading, Designing Skills",78.85
423,B.Tech,Automobile Engineering,Engineering,Engineering,76
424,B.Com,Engineering,Financial Analysis,Accounting Skills,76
425,BE,Commerce,Technology;Data scientist;Machine Learning,Active Listening;Hardware skills;Programming Language skills;Communication skills;R;Python;SQL;MATLAB;Good communication skills,60
426,B.Sc,Electrical and Electronics Engineering,Teaching,Writing skills;Teaching,79
427,BCA,PHYSICS ,Technology,Python;Java,78.85
