Field,Career,GPA,Extracurricular_Activities,Internships,Projects,Leadership_Positions,Field_Specific_Courses,Research_Experience,Coding_Skills,Communication_Skills,Problem_Solving_Skills,Teamwork_Skills,Analytical_Skills,Presentation_Skills,Networking_Skills,Industry_Certifications
Biology,Legal Analyst,4.2140146245515275,3,2,0,1,2,0,1,2,2,1,4,3,2,0
Finance,AI Researcher,3.010092261837489,6,1,3,1,4,0,1,4,0,3,0,1,4,0
Architecture,School Psychologist,3.3691170613033496,7,2,4,1,3,1,1,2,4,3,0,0,2,0
Music,Art Director,4.191815311066455,7,0,4,1,5,0,3,4,3,3,3,4,1,0
Finance,Ecologist,2.7483448038702365,3,0,0,1,9,1,2,0,0,1,0,3,4,1
Engineering,Actuary,3.011021543055377,8,1,0,1,0,0,2,1,4,1,1,3,2,0
Engineering,Curriculum Developer,4.034449406494459,4,2,3,1,3,1,1,3,4,2,3,3,4,1
Law,Chemist,3.5757041248435613,5,2,2,1,9,0,4,2,0,2,0,4,2,1
Biology,Marketing Specialist,3.5080090797609116,8,2,1,1,5,1,3,1,2,2,4,1,3,0
Business,Curriculum Developer,4.816036522497312,8,2,3,0,9,0,2,1,2,4,4,4,0,0
Biology,Landscape Architect,2.6102797184125768,5,1,3,1,6,0,3,0,4,3,0,0,2,0
Physics,School Psychologist,4.891531628017642,5,2,1,1,6,0,1,4,1,3,3,0,2,0
Business,Marketing Manager,3.8177394549300425,4,0,4,0,7,0,0,4,4,3,4,0,0,1
Engineering,Chemical Engineer,3.4991935461811163,6,1,2,0,8,1,2,0,4,3,0,1,1,0
Finance,Microbiologist,4.486742494579729,1,1,1,0,5,1,1,4,1,2,2,1,0,0
Physics,Education Administrator,4.825165194108837,2,2,0,0,0,1,1,4,1,0,3,3,1,1
Marketing,Illustrator,4.832147988234083,8,0,4,1,1,0,3,2,3,1,4,4,3,1
Architecture,Art Therapist,4.6249807827787315,1,2,3,0,5,1,4,0,1,1,3,0,1,1
Biology,Conductor,2.5472878610147873,2,1,4,1,7,1,4,4,3,2,1,3,1,0
Art,Actuary,2.920191298603281,0,2,2,0,9,1,2,0,4,4,1,1,4,0
Marketing,Landscape Architect,2.7468717304400414,2,0,0,0,7,0,3,2,2,1,1,3,3,1
Computer Science,Music Teacher,3.916954043984803,2,0,2,1,3,1,4,2,1,2,4,0,3,1
Chemistry,Judge,4.094910175594016,0,2,2,0,0,0,3,2,2,0,1,3,2,1
Physics,Physicist,4.413043575169676,1,0,1,1,7,1,2,1,1,0,3,2,4,0
Education,Risk Analyst,4.36048895795312,7,1,0,1,5,0,0,0,4,1,3,1,0,0
Biology,Industrial-Organizational Psychologist,4.045496620504544,1,1,4,0,2,0,2,3,1,2,0,1,4,0
Music,Analytical Chemist,3.860202851951401,1,1,1,1,3,1,3,1,4,0,4,3,0,1
Marketing,Cybersecurity Analyst,4.670736747371155,7,2,1,0,2,1,3,3,3,4,1,2,3,0
Computer Science,Software Developer,3.786415566592173,0,2,3,1,9,0,4,2,1,1,1,3,2,0
Law,Zoologist,3.597987197427137,9,1,1,0,3,1,4,4,4,3,1,0,1,1
Biology,Biologist,4.99980308305978,3,0,3,1,6,0,0,1,4,3,4,3,3,0
Psychology,Music Therapist,4.383518667773961,4,1,2,0,8,1,4,3,1,3,0,0,4,1
Marketing,Art Director,3.5967710084420337,4,1,2,1,2,1,2,3,0,3,4,4,3,1
Education,Mechanical Engineer,3.881522938781897,4,0,4,0,7,0,0,2,3,2,2,0,1,0
Biology,Pharmacist,4.892665051835707,4,0,4,0,0,1,0,1,2,3,4,0,0,0
Law,Architectural Technologist,2.628221669982405,9,0,4,0,1,1,3,1,1,3,0,2,1,0
Business,Physician Assistant,4.882717858517635,6,2,3,1,3,0,3,2,2,0,2,3,0,0
Physics,School Counselor,3.3662937094056167,8,0,4,0,8,1,0,2,0,0,2,4,1,1
Medicine,Biologist,2.884427453019255,0,2,4,1,4,1,3,1,4,2,1,1,2,1
Medicine,Pharmacist,3.5842774128234822,3,0,0,0,4,0,4,0,4,4,0,2,1,0
Medicine,Investment Banker,2.812871955195839,2,0,1,0,7,1,3,2,4,1,2,2,1,1
Psychology,Nurse,2.9933227333368597,3,1,4,0,6,0,0,1,4,0,1,3,2,1
Psychology,Electrical Engineer,3.1020947704098965,6,1,3,0,5,0,2,3,2,3,3,1,1,0
Biology,Musician,3.6561885755557393,0,0,1,1,0,0,2,2,1,4,1,3,4,1
Finance,Credit Analyst,4.492819977583191,4,0,0,1,5,0,4,0,2,0,4,3,0,0
Chemistry,Chemist,2.788136274360826,3,0,1,1,9,1,1,0,4,1,2,3,4,1
Business,Principal,2.7120605094889902,8,2,0,1,5,0,0,4,1,2,2,4,1,0
Business,Financial Controller,2.8223620679194017,9,1,1,1,6,0,3,0,4,1,2,1,0,0
Finance,Microbiologist,3.700173280334753,6,2,4,1,7,0,2,2,3,2,1,0,3,0
Education,Music Teacher,3.1930451019493225,1,2,3,0,7,1,1,1,1,2,4,1,2,1
Art,Nuclear Physicist,4.973450528202438,9,2,0,0,4,1,2,4,1,3,2,4,3,1
Engineering,Physical Chemist,3.8223610894553017,0,1,1,0,4,0,4,3,1,1,2,1,4,1
Art,Nurse,4.307293816701479,3,1,2,1,8,1,4,3,3,3,3,0,3,0
Business,Biomedical Engineer,3.25401541868354,5,2,0,1,2,0,1,0,0,0,4,2,4,0
Law,Nuclear Physicist,4.169926346217054,5,2,2,0,5,0,0,2,4,4,3,2,4,0
Chemistry,Brand Manager,4.938755144967297,5,2,2,0,3,0,1,0,4,4,0,1,4,1
Architecture,Nurse,4.920888171451107,1,2,0,0,6,1,0,4,2,2,4,3,1,1
Art,Principal,3.4817778788730944,9,2,1,1,8,1,0,3,4,3,4,3,2,0
Medicine,Organic Chemist,3.8236631071406793,9,1,0,0,7,0,3,3,1,4,3,3,3,1
Art,Art Therapist,4.823042839233025,9,1,4,0,6,1,4,0,4,3,1,1,3,0
Biology,Web Developer,3.2261193531211285,6,0,2,1,4,1,2,2,3,0,4,2,3,0
Finance,Financial Advisor,4.041539344232381,7,2,4,1,4,1,2,0,4,2,2,2,4,0
Art,Market Research Analyst,4.147381154036021,3,1,3,1,1,0,1,3,4,0,2,1,1,1
Computer Science,Marketing Specialist,2.8903951884960493,7,1,3,1,6,0,0,3,2,1,2,0,0,0
Marketing,Actuary,3.711135075470724,6,2,1,1,7,0,0,2,4,2,0,1,3,0
Psychology,Nuclear Physicist,4.226192157977278,5,0,1,0,9,0,2,3,2,4,0,2,4,0
Art,Cybersecurity Analyst,4.694447963857047,2,1,2,0,8,0,1,4,2,3,4,1,4,0
Business,Quantum Physicist,3.7325058838535234,9,1,3,0,5,1,1,3,3,4,3,3,4,0
Marketing,Sound Engineer,3.9843583084810796,9,0,4,1,9,0,4,3,0,0,4,2,1,1
Medicine,Industrial-Organizational Psychologist,2.899790257427523,4,2,0,0,3,0,4,3,2,4,4,1,3,1
Psychology,Forensic Psychologist,2.640473311873607,5,2,2,0,9,0,3,4,3,0,0,0,1,1
Law,Software Developer,3.8143848022810363,0,1,2,1,6,0,3,1,1,2,0,2,2,0
Business,Animator,3.4994414662295625,1,2,1,0,2,0,4,0,0,4,0,3,0,1
Chemistry,Accountant,2.8791687378907396,4,1,1,1,4,0,1,1,3,3,4,2,0,1
Business,Software Developer,2.642087509245593,6,2,4,0,5,1,1,1,3,2,3,1,0,1
Biology,Music Therapist,3.029942025200154,8,1,0,1,4,1,4,4,3,3,4,4,0,1
Marketing,Acoustics Specialist,4.876086531630999,3,1,0,0,0,1,1,4,0,1,3,1,2,0
Engineering,Dentist,2.5293963349348525,4,2,2,0,5,0,3,4,4,0,4,0,2,0
Music,Legal Secretary,4.540195529557735,8,1,0,0,6,0,2,4,3,4,3,3,4,0
Medicine,Clinical Psychologist,3.7885744455386567,2,1,0,0,4,0,1,3,2,1,4,2,0,0
Computer Science,Architect,2.8965207014484893,4,1,3,1,7,0,4,2,3,2,2,2,2,1
Art,AI Researcher,4.121613126174614,1,1,4,1,3,1,4,0,3,0,0,1,3,1
Business,Industrial-Organizational Psychologist,3.05185859207412,4,0,0,0,3,0,0,4,0,0,4,4,3,1
Marketing,Financial Analyst,3.8838544644702626,3,2,0,0,1,1,3,1,1,0,0,4,3,1
Art,Pharmacist,4.601640873811494,2,2,1,1,6,1,3,3,3,2,3,3,0,0
Physics,Interior Designer,4.560622800381563,3,0,1,0,3,0,3,3,4,4,1,4,3,1
Chemistry,Urban Planner,4.575572254977259,8,2,2,0,6,1,1,3,1,0,0,4,0,0
Art,Principal,2.6767125732318817,7,0,4,0,9,0,3,2,4,1,4,0,2,0
Education,AI Researcher,4.925402781792291,6,1,0,1,1,0,1,1,2,2,4,3,3,1
Education,Lawyer,4.391040664458849,0,1,0,1,2,0,3,0,4,4,3,2,4,1
Computer Science,Nuclear Physicist,3.8654520711550147,9,2,3,1,2,0,1,0,1,2,2,0,1,1
Biology,Urban Planner,4.190757603432731,1,2,4,0,7,0,1,3,0,0,3,1,3,1
Engineering,Actuary,2.6726832193130843,9,0,4,0,8,0,0,0,3,0,0,3,3,0
Art,Clinical Psychologist,3.196665029484139,9,1,4,0,7,1,3,0,1,2,2,0,4,0
Marketing,Principal,2.7549367598400725,9,0,4,1,4,1,0,1,3,1,0,0,2,1
Psychology,Art Director,2.861391324637033,5,1,2,1,2,1,2,1,2,0,3,1,0,0
Law,Curriculum Developer,4.770586291151747,7,2,3,0,3,0,2,3,4,2,4,1,2,1
Education,Mechanical Engineer,4.868409058114802,1,2,4,1,3,0,1,2,4,3,0,2,3,1
Music,Teacher,4.505860817448276,8,1,4,0,8,0,3,3,1,1,1,4,4,1
Medicine,Zoologist,4.50434019476571,8,0,1,1,9,0,2,0,4,3,2,4,4,1
Art,Physical Chemist,3.040750888229103,9,2,4,0,2,0,0,1,1,3,1,3,1,1
Art,Chemical Engineer,4.576588803844775,5,0,0,1,3,0,4,2,4,1,4,3,3,1
Education,Social Media Manager,4.782754929351167,2,0,2,1,8,0,2,3,0,3,0,3,2,0
Computer Science,Composer,2.856110417336878,3,0,0,0,4,1,2,2,3,0,0,0,1,1
Architecture,Astronomer,3.9306849986527834,8,2,2,0,0,1,0,3,3,2,1,3,1,0
Engineering,Physicist,2.6114607911915177,1,2,1,0,5,1,1,4,2,0,4,1,0,0
Finance,Legal Secretary,3.44920647183552,0,2,4,0,2,0,3,4,4,2,2,4,4,1
Engineering,Dentist,2.5500076065609827,7,0,4,1,1,0,1,4,1,4,2,1,0,1
Finance,Conductor,4.162595539128256,4,0,1,1,9,1,1,1,0,2,0,0,1,1
Engineering,Illustrator,3.6906432299294742,2,1,2,0,6,1,0,1,0,0,3,0,3,1
Biology,Forensic Psychologist,2.949772046042818,6,2,2,1,5,0,2,1,1,1,1,4,4,1
Engineering,Market Research Analyst,4.346387649527677,8,2,0,1,2,0,3,3,2,0,2,4,4,0
Computer Science,Web Developer,2.891942322498741,7,2,0,1,7,0,1,0,0,2,1,2,0,0
Business,Astronomer,4.2973186469985825,5,0,4,0,8,1,4,4,2,2,1,2,2,0
Business,Risk Analyst,3.963850774498548,3,1,1,0,7,0,0,3,1,0,0,3,3,0
Business,Construction Manager,4.3496066663393025,6,2,0,1,2,0,2,0,3,3,4,0,0,1
Law,Financial Analyst,4.022824911187139,0,2,3,1,9,0,3,2,0,3,2,1,0,1
Architecture,Art Director,3.202476998720442,1,0,4,1,0,0,0,3,0,1,4,0,0,1
Music,Construction Manager,3.292961689642132,6,1,0,1,1,1,1,3,0,4,1,1,3,0
Medicine,Entrepreneur,4.712730374997161,6,1,3,0,0,1,4,1,1,0,1,0,1,0
Education,Teacher,2.625631303788192,8,1,0,1,6,0,3,1,3,2,3,3,1,1
Architecture,Brand Manager,3.593251044195589,2,0,0,0,4,1,4,2,3,4,3,2,1,1
Engineering,Nurse,2.8571405228801057,3,0,3,1,2,1,4,0,0,2,2,0,4,0
Finance,Nuclear Physicist,4.8655602128517454,6,0,3,0,3,1,0,0,1,4,2,4,0,0
Physics,Physical Chemist,4.215043534666422,7,2,1,0,0,0,3,2,2,4,1,3,1,0
Architecture,Composer,3.8249246697037873,1,0,0,0,0,1,2,0,2,3,3,0,3,1
Business,Financial Analyst,3.672075580036572,1,2,4,0,2,0,4,2,3,3,0,0,0,0
Psychology,Physician Assistant,3.751205743317862,2,0,2,1,0,1,3,1,3,3,4,2,3,1
Finance,Music Therapist,4.217551390242703,5,1,2,0,1,0,2,3,1,1,4,2,0,0
Physics,Animator,4.611452588301064,7,0,3,0,2,0,2,3,3,4,2,4,2,0
Education,Interior Designer,2.691639600497825,7,0,3,1,5,1,4,2,1,2,0,4,0,1
Finance,Biomedical Engineer,4.135142117179857,8,1,1,0,6,0,4,2,0,3,1,3,4,0
Computer Science,Human Resources Specialist,4.783699571704188,2,1,2,0,3,0,0,0,2,0,1,0,1,1
Psychology,Music Therapist,4.875998425165146,0,0,4,0,4,1,4,1,2,4,3,2,1,1
Architecture,Physical Chemist,4.702111989038933,6,1,0,0,2,1,3,4,4,4,4,3,4,0
Finance,Market Research Analyst,2.723271848435661,3,2,3,0,1,1,4,2,3,4,0,0,2,1
Law,Paralegal,3.9278395077786965,4,2,1,0,2,1,4,4,1,1,2,2,0,0
Law,Organic Chemist,2.9684741186883365,1,0,0,1,4,1,1,4,3,0,1,3,2,1
Marketing,Psychologist,3.0749406216920026,8,1,3,0,1,1,1,0,3,1,1,4,0,1
Finance,Illustrator,3.3162325260733136,0,1,2,0,0,1,0,4,0,4,4,1,2,0
Medicine,Web Developer,3.1384373992995434,6,0,3,1,8,0,0,4,0,0,1,2,4,1
Education,Digital Marketing Specialist,4.891329289731784,8,1,2,0,4,0,3,0,2,1,0,0,4,1
Physics,Judge,3.1201946475158904,6,1,2,1,7,0,3,0,1,1,4,3,1,1
Education,Principal,3.6098870274549375,9,2,2,1,8,1,4,4,0,2,2,4,1,1
Business,Judge,3.682382271147315,3,0,4,0,7,0,0,3,4,2,4,1,3,0
Art,Legal Consultant,3.0235274005910373,1,1,3,0,7,1,1,2,1,2,4,3,0,0
Architecture,School Counselor,3.4322284809435173,6,2,2,1,6,1,2,0,0,1,1,4,2,1
Marketing,Psychologist,3.694943359743807,9,0,0,1,8,1,4,2,3,2,3,4,4,1
Physics,Accountant,3.4232328774062903,2,0,2,1,0,1,2,4,3,0,0,0,4,1
Business,Marketing Specialist,4.544462917400894,2,0,3,1,8,1,3,2,4,0,1,1,0,0
Engineering,Web Developer,4.138399469612106,9,1,4,1,3,1,4,2,2,2,1,4,0,1
Medicine,Risk Analyst,2.8362402773891677,1,2,0,0,2,1,3,4,1,1,0,1,2,1
Chemistry,Special Education Teacher,3.2711787613356114,4,2,0,0,2,1,3,1,1,2,2,2,4,0
Engineering,Industrial-Organizational Psychologist,4.758618288778757,4,0,3,1,2,1,2,1,0,0,2,3,2,1
Chemistry,Civil Engineer,2.814414780000808,5,2,1,1,4,1,2,3,0,0,0,1,2,1
Marketing,Investment Banker,3.3778674070320003,7,1,2,1,3,1,3,4,3,0,3,2,0,1
Art,Animator,4.373364486385287,5,2,3,1,7,1,0,2,4,1,3,3,4,1
Business,Architectural Technologist,3.316372576907834,0,1,4,0,9,1,2,1,2,2,0,1,3,0
Marketing,Education Administrator,4.053464586126592,5,2,3,0,2,1,0,0,0,3,4,3,2,1
Art,Civil Engineer,2.5510455269735637,4,0,2,0,3,1,3,3,1,4,3,1,2,0
Physics,Acoustics Specialist,4.828666664154608,9,2,0,0,3,1,3,4,2,0,2,3,2,0
Business,Composer,3.0612371170359336,4,0,0,0,3,0,0,4,1,1,0,0,4,0
Marketing,AI Researcher,3.259599735439698,0,1,4,1,9,0,2,0,1,1,4,1,0,1
Finance,School Psychologist,4.309167055115788,7,1,0,0,0,1,0,4,0,0,3,2,0,0
Computer Science,Industrial-Organizational Psychologist,3.918066978523295,4,1,4,1,9,0,3,4,3,3,2,3,1,0
Psychology,Counselor,4.642337314840869,7,0,4,1,9,1,3,3,4,2,2,4,4,1
Marketing,Clinical Psychologist,3.0262136866109532,1,0,1,0,8,0,3,3,0,3,3,2,2,1
Music,Software Developer,3.460838333890414,5,2,1,1,1,0,0,1,3,0,4,4,1,1
Psychology,Ecologist,4.086077671033578,8,0,3,1,7,0,2,4,2,2,0,0,2,1
Finance,Brand Manager,4.216357434482605,3,2,4,0,3,1,3,2,1,3,1,4,0,1
Finance,Cybersecurity Analyst,3.6669887023445042,4,2,3,1,0,1,1,1,3,4,4,1,0,1
Music,School Counselor,4.74296977693581,8,1,2,0,1,0,2,3,1,0,2,1,0,1
Finance,Chemical Engineer,4.471425041374724,6,1,2,1,5,0,2,0,4,0,0,2,3,0
Education,Risk Analyst,2.6399674480363995,9,0,0,1,9,1,1,0,3,2,0,2,1,1
Chemistry,Art Therapist,3.083376708680133,7,1,2,0,7,0,3,4,3,2,2,2,0,1
Physics,Artist,3.3601788267132315,3,1,4,1,5,1,3,2,0,4,0,4,3,1
Engineering,Illustrator,4.185927471061738,6,1,1,1,3,0,0,4,3,4,0,0,2,0
Finance,Nuclear Physicist,2.8239598153946504,5,1,3,1,9,1,4,4,2,0,1,1,1,1
Architecture,Principal,3.8261018957655852,4,1,4,1,3,0,4,2,1,0,3,0,4,0
Chemistry,Financial Analyst,2.565122962762307,8,0,4,1,6,0,3,0,4,1,2,4,4,1
Medicine,Doctor,2.9771229974897913,2,2,4,1,2,0,4,4,1,4,4,2,0,0
Architecture,Analytical Chemist,4.431203229024433,3,1,2,0,7,0,0,0,2,3,1,1,4,0
Finance,Music Teacher,3.323625073947083,0,2,2,0,7,1,1,3,1,0,2,2,2,1
Psychology,Astronomer,4.512344350811591,5,0,4,0,4,0,4,1,4,3,1,0,2,0
Computer Science,School Psychologist,3.8431551277480565,4,1,0,1,1,1,0,3,2,4,0,1,1,0
Biology,Data Scientist,4.803437044793851,6,1,0,1,1,0,3,4,4,2,0,1,2,1
Computer Science,Graphic Designer,4.33835016757535,3,2,2,1,0,1,0,3,3,0,1,2,4,0
Art,Legal Secretary,4.359511978599652,1,1,4,1,4,1,3,0,0,1,2,3,2,1
Biology,Chemical Engineer,4.063046670779596,0,2,3,0,4,0,1,1,3,0,1,0,4,1
Music,Credit Analyst,3.390864676071935,8,0,1,1,6,1,1,4,1,2,2,2,2,1
Psychology,Art Therapist,3.3175442628393967,6,1,1,0,0,0,1,3,0,1,2,1,3,0
Law,Conductor,3.138475980734147,2,0,3,1,4,0,3,2,4,2,0,0,3,1
Education,School Psychologist,3.1460834850634587,1,2,4,1,2,1,0,3,1,1,1,1,3,0
Chemistry,Advertising Manager,4.2139921330030115,4,1,1,0,6,0,4,2,1,0,1,3,2,1
Medicine,Principal,3.1085729649839013,9,0,4,0,0,0,3,0,4,1,4,1,2,0
Finance,Web Developer,3.449015344171404,8,1,4,0,6,1,4,3,1,4,4,4,3,0
Music,Zoologist,4.647474894702985,8,2,1,0,7,1,2,0,4,2,2,2,3,1
Chemistry,Special Education Teacher,4.547693908743774,3,1,0,0,6,1,3,0,1,2,1,0,2,1
Architecture,Musician,4.772453481179042,0,2,0,1,2,0,4,3,1,0,0,1,1,0
Psychology,Geneticist,2.8277537507216692,4,1,4,1,8,0,2,3,2,4,1,1,2,1
Psychology,Sound Engineer,4.8067514263423154,7,1,3,1,0,1,4,3,1,3,1,4,4,1
Engineering,Legal Analyst,4.714535122220984,6,0,4,1,5,0,1,1,4,3,3,2,2,0
Art,Market Research Analyst,3.378185865659905,8,2,2,1,8,0,0,3,3,1,4,1,4,1
Finance,Ecologist,4.808933208196011,0,1,2,0,3,0,4,1,2,4,2,0,2,1
Medicine,Fluid Mechanics Engineer,3.748767913260715,3,0,0,1,7,0,2,2,1,1,0,1,4,0
Engineering,Financial Controller,3.051031028461014,3,0,2,1,1,1,0,4,0,2,1,1,3,1
Psychology,Mechanical Engineer,4.821562014946679,1,1,2,0,0,0,1,2,3,0,0,2,3,0
Education,Nurse,4.980927011469088,4,1,1,0,0,1,0,2,4,0,2,0,4,0
Marketing,Dentist,4.72479522847457,3,2,4,1,6,0,1,3,1,2,3,3,2,0
Chemistry,Animator,4.2964224793566395,2,0,0,0,5,0,3,3,0,4,4,1,3,1
Chemistry,Acoustics Specialist,2.9593887169799467,5,2,0,0,2,1,1,4,1,0,0,3,3,1
Psychology,Physician Assistant,4.456539936466184,5,1,4,0,8,1,2,2,3,4,2,2,1,0
Marketing,Web Developer,4.835812860904177,2,0,3,0,6,1,0,0,0,4,1,4,4,1
Education,Biochemist,4.477233747705307,7,2,0,1,2,1,4,4,1,3,3,3,3,0
Physics,Industrial-Organizational Psychologist,3.241098860099086,1,0,0,1,3,0,3,4,2,3,3,4,3,0
Medicine,Inorganic Chemist,3.5669404505741036,8,2,3,1,0,1,2,3,4,1,0,4,1,0
Education,Music Therapist,4.177935245304035,9,0,1,0,8,1,1,0,3,0,0,2,0,1
Medicine,Biochemist,2.6271768183205393,8,0,4,1,5,1,2,3,2,3,3,2,0,1
Computer Science,School Counselor,4.344768245042317,5,0,2,1,2,0,4,0,3,4,1,3,1,1
Art,Animator,3.789357975421558,1,1,0,0,1,0,1,3,3,0,0,0,4,1
Biology,Fluid Mechanics Engineer,3.928642963039576,4,0,2,0,7,0,2,0,3,3,3,2,0,1
Medicine,Architectural Technologist,4.028341072084936,7,1,0,1,3,0,0,4,0,4,2,3,3,1
Music,Cybersecurity Analyst,4.298201953119278,5,2,0,1,5,1,1,2,2,1,2,4,4,0
Finance,Civil Engineer,2.9834533970070503,9,0,4,1,5,1,3,2,2,0,2,2,2,0
Computer Science,Market Research Analyst,3.6091768019156296,0,0,2,1,8,0,3,1,3,4,0,4,4,0
Marketing,Chemist,4.764517565274288,4,2,0,1,9,0,2,0,1,0,1,1,2,0
Psychology,Musician,2.7517804605326184,9,0,2,1,7,1,4,1,3,4,4,3,1,1
Music,Chemist,3.7190792508057386,1,1,2,0,7,0,0,3,4,0,1,3,3,0
Finance,Music Therapist,2.9353213428420806,1,2,2,1,8,1,0,2,3,1,3,1,1,1
Art,Chemist,4.342861639465627,2,2,0,0,5,1,2,1,0,0,1,0,3,1
Marketing,Organic Chemist,4.56814178330513,1,0,2,1,5,0,3,3,1,0,2,2,1,0
Finance,Social Media Manager,2.9704679073900304,9,1,3,1,7,0,0,2,1,0,0,2,4,0
Biology,School Counselor,4.344858094704018,1,2,0,1,5,1,2,2,0,3,2,4,4,1
Computer Science,Legal Analyst,4.671902536104497,9,0,3,0,4,1,2,2,1,2,2,2,0,0
Art,Construction Manager,2.7198327092375463,7,2,3,0,0,0,1,1,2,1,3,0,4,0
Finance,Ecologist,3.5323534792552627,9,0,1,1,4,1,4,2,4,3,0,3,4,1
Biology,Legal Consultant,2.9143090222245562,5,1,4,1,4,0,4,4,1,1,1,2,2,1
Music,Marketing Manager,2.760950473648621,9,1,3,1,2,0,1,1,1,0,4,1,4,1
Art,Principal,2.8561977253312523,6,2,1,1,8,0,2,2,1,2,0,1,2,1
Architecture,Artist,4.354334623011409,3,1,4,1,8,0,3,2,1,2,4,0,2,1
Architecture,Biochemist,4.197509132450762,4,0,4,0,5,1,3,4,4,4,1,1,2,1
Architecture,Astronomer,4.680409717030596,8,0,4,0,4,1,4,3,4,0,1,4,3,1
Chemistry,Art Director,3.4437773833310814,6,0,3,1,1,1,1,2,0,0,3,4,0,0
Architecture,Microbiologist,2.5256488234066947,9,2,4,0,0,0,3,4,0,1,1,3,0,1
Business,Marketing Manager,2.5132314602105175,3,0,0,1,0,1,2,2,1,3,1,0,3,1
Medicine,Market Research Analyst,3.6647184137719657,3,0,2,1,3,1,2,4,0,0,4,2,1,0
Business,Sound Engineer,2.7289005251178917,3,0,3,1,2,0,3,2,2,4,4,1,4,1
Psychology,Fluid Mechanics Engineer,4.076643292842076,9,1,3,1,2,1,3,1,3,2,1,0,4,0
Biology,Mechanical Engineer,3.272890533188762,1,1,2,1,6,0,1,1,1,3,4,4,0,1
Biology,Civil Engineer,2.834580748346559,6,0,2,0,8,1,0,0,4,3,3,4,2,0
Art,Doctor,4.181861331854694,8,2,0,1,1,0,2,2,4,0,3,3,2,0
Art,Legal Analyst,4.402460665635353,2,0,0,1,0,1,3,4,2,2,0,1,3,1
Finance,Nuclear Physicist,4.518200174260112,3,2,2,1,4,0,2,0,2,1,4,2,4,0
Art,Quantum Physicist,4.723955542724614,4,2,3,0,7,1,0,0,2,1,3,3,3,1
Education,Marketing Manager,4.151920808456045,9,2,3,0,4,1,2,4,3,4,2,0,0,0
Business,Musician,3.1048802327346414,4,2,3,1,8,1,1,0,0,4,2,4,3,0
Music,Biologist,3.967222298705452,8,0,4,1,8,0,0,1,4,1,0,0,3,0
Education,Construction Manager,3.8252737105927554,2,1,0,1,9,0,0,4,0,3,3,1,2,1
Art,Clinical Psychologist,3.5502808306638958,0,0,4,0,1,1,2,2,2,2,4,1,0,0
Physics,Legal Consultant,4.824588974607893,3,0,3,1,0,0,2,3,0,2,2,3,2,1
Chemistry,Art Therapist,3.8341502233037694,1,0,3,1,7,0,2,4,3,2,3,2,2,1
Medicine,Financial Analyst,3.5539391375531117,9,0,3,0,2,1,2,3,3,3,4,1,2,0
Psychology,Conductor,4.703143330513692,4,1,2,1,5,0,2,2,4,4,3,3,3,1
Computer Science,Biologist,4.411733386936261,1,1,4,1,8,1,2,0,3,3,2,0,2,0
Computer Science,Paralegal,2.5356699787629964,1,0,2,1,5,0,4,3,3,2,0,2,2,1
Physics,Education Administrator,2.9363410513992676,6,1,0,1,5,1,4,0,1,2,2,1,2,0
Marketing,Accountant,3.2064533472838805,4,2,2,0,8,1,0,0,1,0,0,0,0,1
Engineering,Game Developer,4.708222272593321,4,1,3,1,3,0,2,1,4,4,1,0,0,1
Architecture,Construction Manager,3.440217203635134,8,1,1,0,7,0,1,1,0,2,4,1,1,1
Engineering,Artist,3.3565691637038517,2,1,2,1,6,0,1,2,2,2,4,3,0,0
Business,Microbiologist,3.738395102140574,2,0,1,0,6,1,2,2,0,2,4,2,0,0
Chemistry,Architectural Technologist,2.731768836846567,8,1,1,0,5,0,4,4,3,0,1,2,2,1
Computer Science,Teacher,3.917683262909458,5,1,3,1,7,0,4,3,1,3,2,3,4,0
Marketing,Counselor,3.1790417396027655,8,0,1,0,4,0,4,4,2,2,4,2,0,1
Education,Risk Analyst,4.841937018234697,7,2,3,0,1,0,1,1,4,4,0,4,0,0
Art,Clinical Psychologist,3.0638052272323404,3,0,3,0,1,0,1,3,0,4,3,0,1,0
Music,Architect,3.869131920831397,6,2,4,1,2,1,4,0,0,2,2,4,0,1
Computer Science,Legal Analyst,3.0268302371003775,5,2,3,1,5,1,4,0,0,4,0,4,4,1
Music,Urban Planner,3.867204214327268,8,1,2,0,8,1,1,2,3,4,2,1,2,0
Art,Inorganic Chemist,3.0685499357995267,8,1,4,1,8,0,0,0,3,1,1,0,3,0
Music,School Psychologist,2.8882188489333553,5,1,0,0,4,0,2,1,0,1,1,4,2,1
Art,Pharmacist,2.9181126087389013,4,2,0,1,4,0,3,2,2,3,0,1,4,1
Psychology,Entrepreneur,3.1108036567044306,0,1,3,0,4,1,1,2,0,0,1,0,1,0
Marketing,Special Education Teacher,4.277103612386243,1,2,2,0,0,0,4,3,0,2,3,2,0,1
Chemistry,Entrepreneur,3.3794785205493696,5,0,2,0,2,1,0,0,3,0,3,1,3,0
Chemistry,Teacher,2.850011666367818,7,0,4,0,3,0,2,0,2,3,0,1,3,0
Biology,Entrepreneur,3.557105168403134,2,0,4,1,1,0,1,0,1,3,0,1,4,1
Marketing,Marketing Specialist,2.796519579678307,3,1,4,1,3,0,3,4,3,1,2,4,4,1
Art,Electrical Engineer,2.866797572838001,8,2,1,1,0,0,2,4,0,1,0,2,0,0
